"avatarThumbnail","cid","createTime","createTimeISO","diggCount","repliesToId","replyCommentTotal","submittedVideoUrl","text","uid","uniqueId","videoWebUrl"
"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7328581585807589382~c5_100x100.jpg?lk3s=30310797&x-expires=1714021200&x-signature=IvLf9tf%2FRiG9th8x5gI7HNOtU5Q%3D","7336363695905981214","1708130304","2024-02-17T00:38:24.000Z","1197",,"17","https://www.tiktok.com/@royanews/video/7336316158892625160?is_from_webapp=1&sender_device=pc&web_id=7343138512164390418","dogs know bad ppl when they smell them","6740427959569941510","justexsisiting","https://www.tiktok.com/@royanews/video/7336316158892625160"
"https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-euttp/5d82f2340b6a658f8e3defb7da333501~c5_100x100.jpg?lk3s=30310797&x-expires=1714021200&x-signature=1jDsgkrCeIZ1xEPxLXvqoiSfX8c%3D","7336320679438533408","1708120289","2024-02-16T21:51:29.000Z","1760",,"3","https://www.tiktok.com/@royanews/video/7336316158892625160?is_from_webapp=1&sender_device=pc&web_id=7343138512164390418","even the dogs are fedup now","6672354961077355526","gucii51","https://www.tiktok.com/@royanews/video/7336316158892625160"
"https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tos-alisg-avt-0068/7336405599896371201.jpg?lk3s=30310797&x-expires=1714021200&x-signature=mSth4EImQoWJzha2crDrqw%2B0ix0%3D","7336451445691187973","1708150739","2024-02-17T06:18:59.000Z","1586",,"43","https://www.tiktok.com/@royanews/video/7336316158892625160?is_from_webapp=1&sender_device=pc&web_id=7343138512164390418","I thought the IOF was the stray dogs.","7031603022435124230","naqsh27","https://www.tiktok.com/@royanews/video/7336316158892625160"
"https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-giso/c743a231117b88b3ebec108b427290d4~c5_100x100.jpg?lk3s=30310797&x-expires=1714021200&x-signature=Apxr3XuWO49O2u5QxWVOEQ5uZ0A%3D","7336349650469864193","1708127078","2024-02-16T23:44:38.000Z","905",,"3","https://www.tiktok.com/@royanews/video/7336316158892625160?is_from_webapp=1&sender_device=pc&web_id=7343138512164390418","Thank you dogs for standing with humanity! Please take care and find safety.","6844293479565165570","sidabdullah6020","https://www.tiktok.com/@royanews/video/7336316158892625160"
"https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tos-alisg-avt-0068/7b412d17ee4fb2135e5f4c473440096a.jpg?lk3s=30310797&x-expires=1714021200&x-signature=lAc%2FaWPW4OyOB5orwdgfKh0pp4s%3D","7336601448542831361","1708185654","2024-02-17T16:00:54.000Z","144",,"21","https://www.tiktok.com/@royanews/video/7336316158892625160?is_from_webapp=1&sender_device=pc&web_id=7343138512164390418","Yes","6857087097184289793","w4m4rt","https://www.tiktok.com/@royanews/video/7336316158892625160"
"https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tos-alisg-avt-0068/17979ab296f372adcd55c9fadabe3f91.jpg?lk3s=30310797&x-expires=1714021200&x-signature=nb4hv9fPwEpl4e1X8U0OHcFNv%2Fo%3D","7336370923207082760","1708131979","2024-02-17T01:06:19.000Z","95",,"0","https://www.tiktok.com/@royanews/video/7336316158892625160?is_from_webapp=1&sender_device=pc&web_id=7343138512164390418","even dog have a animality inside them not like some human with no humanity.Anyway alhamdulilah thanks dog.","7303400266178233345","shrrr328","https://www.tiktok.com/@royanews/video/7336316158892625160"
"https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tos-alisg-avt-0068/3cf6e1715f75f7f0ca1d68d4855827c9.jpg?lk3s=30310797&x-expires=1714021200&x-signature=ZW7hJGyACMczrtfbPGMAjyUEkpo%3D","7336455647863948052","1708151822","2024-02-17T06:37:02.000Z","56",,"1","https://www.tiktok.com/@royanews/video/7336316158892625160?is_from_webapp=1&sender_device=pc&web_id=7343138512164390418","Doing more than the international governments","6722621478712837125","delforcevariant","https://www.tiktok.com/@royanews/video/7336316158892625160"
"https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tos-alisg-avt-0068/2d895b516a7ec8034e1f92a52be06ace.jpg?lk3s=30310797&x-expires=1714021200&x-signature=PF9qf7f%2BRmZ5hUpEN2O2wUArnT4%3D","7336539065779094290","1708171123","2024-02-17T11:58:43.000Z","67",,"0","https://www.tiktok.com/@royanews/video/7336316158892625160?is_from_webapp=1&sender_device=pc&web_id=7343138512164390418","animals belike: if human doesn't want to help his own brothers and sisters we will","6880179400727430145","mochizuki_ginji","https://www.tiktok.com/@royanews/video/7336316158892625160"
"https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tos-alisg-avt-0068/7335485294977744898.jpg?lk3s=30310797&x-expires=1714021200&x-signature=EJJqqtSHauAVwUScI5WDVmsIyx4%3D","7337253754058162952","1708337525","2024-02-19T10:12:05.000Z","7",,"1","https://www.tiktok.com/@royanews/video/7336316158892625160?is_from_webapp=1&sender_device=pc&web_id=7343138512164390418","this dog not stray , these dog are animal warrior that can sense bad people 😅","6790667009735836673","randomloading","https://www.tiktok.com/@royanews/video/7336316158892625160"
"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/a45622ce87a62b662b6bbcd7a928f923~c5_100x100.jpg?lk3s=30310797&x-expires=1714021200&x-signature=QQ4woAO6Pz66IvutXHDLgYRTBGA%3D","7336487627196302085","1708159160","2024-02-17T08:39:20.000Z","19",,"0","https://www.tiktok.com/@royanews/video/7336316158892625160?is_from_webapp=1&sender_device=pc&web_id=7343138512164390418","These are Not Only dogs, They Are also The Heroes Of their Homeland ❤️","6767757008247456774","m.s.k00444","https://www.tiktok.com/@royanews/video/7336316158892625160"
