"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1825652032805679310","Mon Aug 19 21:52:18 +0000 2024","910","LIVE: THOUSANDS PROTEST OUT OF THE DEMOCRATIC NATIONAL CONVENTION IN CHICAGO For over ten months the Democratic Party has supported the genocide against our people in Gaza by aiding and abetting the colonial state of Israel. Today thousands are out in the streets from https://t.co/Ow1oroQeb2","1825652032805679310","https://pbs.twimg.com/media/GVYEyVbXoAAiNtx.jpg","","en","","12","38","330","https://x.com/undefined/status/1825652032805679310","757408098",
"1713852095223263408","Mon Oct 16 09:39:15 +0000 2023","3016","Israel is breaking international law! Here is why... https://t.co/CX9kejqHOV","1713852095223263408","https://pbs.twimg.com/amplify_video_thumb/1713851814401986560/img/auY18otaZ5Y21dUI.jpg","","en","","95","105","2465","https://x.com/undefined/status/1713852095223263408","1318537581185896448",
"1817315335529496934","Sat Jul 27 21:45:14 +0000 2024","30434","Israel Paraguay Match: the ppl with Palestine 🇵🇸 RESULT: PARAGUAY 4 ISRAEL 2 https://t.co/9ubRIZ1VfS","1817315335529496934","https://pbs.twimg.com/ext_tw_video_thumb/1817315249776623617/pu/img/k_YFNrLc7J2-59c-.jpg","","en","","78","14","5183","https://x.com/undefined/status/1817315335529496934","2684865902",
"1909032689061232836","Sun Apr 06 23:57:15 +0000 2025","0","#Iran's #IRGC releases a Threatening &amp; Intimidating AI Video! #CrippleALI Has Spent Over $350bn to Support Terrorists &amp; Rogue Regimes In #Somalia #Syria #Lebanon #Gaza #Yemen #JS &amp; #Iraq. #Russia #Ukraine #US #France #Canada #Germany #England #Israel #Egypt #Turkey #Qatar https://t.co/s1kYKeTkJ8","1909032689061232836","https://pbs.twimg.com/ext_tw_video_thumb/1909032599298654208/pu/img/zqovLtJmmt4udu5L.jpg","","en","","0","0","0","https://x.com/undefined/status/1909032689061232836","2485514456",
"1720026117610876962","Thu Nov 02 10:32:37 +0000 2023","951","Israel has a long history of lying #Palestine https://t.co/6E7kcSIs3L","1720026117610876962","https://pbs.twimg.com/ext_tw_video_thumb/1720025996219346944/pu/img/duL8kIPb20uwAMlN.jpg","","en","","10","31","443","https://x.com/undefined/status/1720026117610876962","1062174840914931712",
"1909033179521937843","Sun Apr 06 23:59:12 +0000 2025","149","Hey @marclamonthill! I know this is a long shot but I'd love for you to watch the first part of my three-part docuseries on a country extremely similar in nature to Israel: Sri Lanka. Let me know if you'd be interested in talking about this! https://t.co/3reLAPGXdO","1909033179521937843","https://pbs.twimg.com/media/Gn4_Q9LX0AAfqcZ.jpg","","en","","0","7","26","https://x.com/undefined/status/1909033179521937843","1483845174522482696",
"1818338717930504469","Tue Jul 30 17:31:48 +0000 2024","704","A little girl her once beautiful face disfigured by skin disease ravaging children due to pollution and the lack of medicines that the Israeli occupation prevents from entering Gaza. https://t.co/fylGdXG5KH","1818338717930504469","https://pbs.twimg.com/ext_tw_video_thumb/1818338679590465536/pu/img/FTiL45y4cmEJFbH2.jpg","","en","","30","28","534","https://x.com/undefined/status/1818338717930504469","1318537581185896448",
"1796172337273840057","Thu May 30 13:30:31 +0000 2024","21391","What is All eyes on #Rafah 🇵🇸 mean? Rafah is in crisis. After 236 days of suffering Palestinians were forced to flee their homes for makeshift tents in Rafah promised as a 'safe zone' by Israel but even there they face brutal attacks. https://t.co/MpgfS4PMxp","1796172337273840057","https://pbs.twimg.com/media/GO1JNv6XAAIaOhJ.jpg","","en","","77","55","12539","https://x.com/undefined/status/1796172337273840057","753119307937280000",
"1909031384401740289","Sun Apr 06 23:52:04 +0000 2025","0","Genocide is the industry of Israel","1909031384401740289","","","en","","0","0","0","https://x.com/undefined/status/1909031384401740289","56548351",
"1729926985806123110","Wed Nov 29 18:15:08 +0000 2023","928","A recently launched app helps people identify products from Israel allowing them to make informed choices and avoid supporting genocide. https://t.co/56yNyjoRss","1729926985806123110","https://pbs.twimg.com/amplify_video_thumb/1729926920320462848/img/S7RF2t89VTgowWXm.jpg","","en","","15","74","436","https://x.com/undefined/status/1729926985806123110","1318537581185896448",
"1909032076663271437","Sun Apr 06 23:54:49 +0000 2025","0","Fuck Israel !!","1909032076663271437","","","en","","0","0","0","https://x.com/undefined/status/1909032076663271437","1687434289653088257",
"1907311690556805518","Wed Apr 02 05:58:37 +0000 2025","797","Israel says it is expanding its military operation in Gaza and will seize large areas of the territory https://t.co/GzWqZsMZPj","1907311690556805518","","","en","","72","433","287","https://x.com/undefined/status/1907311690556805518","5402612",
"1909031031040364563","Sun Apr 06 23:50:40 +0000 2025","5","Vancouverites Stand with Israel #we_stand_with_israel #free_israeli_hostages #جاويدشاه_رمز_نجات_ایران https://t.co/fwX2f7eYLc","1909031031040364563","https://pbs.twimg.com/ext_tw_video_thumb/1909030932918550528/pu/img/IxYtsUOVUbkJBMym.jpg","","en","","0","0","1","https://x.com/undefined/status/1909031031040364563","1633931647",
