"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1796172337273840057","Thu May 30 13:30:31 +0000 2024","21377","What is All eyes on #Rafah 🇵🇸 mean? Rafah is in crisis. After 236 days of suffering Palestinians were forced to flee their homes for makeshift tents in Rafah promised as a 'safe zone' by Israel but even there they face brutal attacks. https://t.co/MpgfS4PMxp","1796172337273840057","https://pbs.twimg.com/media/GO1JNv6XAAIaOhJ.jpg","","en","","77","55","12534","https://x.com/undefined/status/1796172337273840057","753119307937280000",
"1795444645977354522","Tue May 28 13:18:56 +0000 2024","20762","ALL EYES ON RAFAH https://t.co/aKOkyzEy25","1795444645977354522","https://pbs.twimg.com/media/GOqzYywb0AA6kwN.jpg","","en","","89","1876","9184","https://x.com/undefined/status/1795444645977354522","1371650588",
"1908904231890825378","Sun Apr 06 15:26:49 +0000 2025","8630","Forget Rafah or Khan Younis or Gaza City. Those places are terrorist bases and nothing more. But why are there NO eyes on the Christians being systematically slaughtered by Islamists every day? Nobody seems to even care about the victims of Islam. I wonder why that is? https://t.co/F9wVVBxmlk","1908904231890825378","https://pbs.twimg.com/media/Gn3KR8vW0AAmsZ9.jpg","","en","","146","518","3897","https://x.com/undefined/status/1908904231890825378","1688839391676919808",
"1908945596548866346","Sun Apr 06 18:11:11 +0000 2025","48847","Rafah existed for over 3 300 years. It was wiped off the map by a settler-colony that has existed for just 77 years.","1908945596548866346","","","en","","131","829","14103","https://x.com/undefined/status/1908945596548866346","3249226408",
"1796697131798933807","Sat Jun 01 00:15:51 +0000 2024","861","REVOLT FOR RAFAH Join Palestinian students supported by the wider community at Columbia at a the new Gaza Solidarity Encampment. We are outraged by Columbia s complicity in the killing of our people in Gaza and most recently the massacre in Rafah. We are equally outraged https://t.co/CtagSRTKeK","1796697131798933807","https://pbs.twimg.com/media/GO8luANXAAAX3Mp.jpg","","en","","104","118","505","https://x.com/undefined/status/1796697131798933807","757408098",
"1795611810948902959","Wed May 29 00:23:11 +0000 2024","1901"," Pagi guys ayo tetep naikin ht ALL EYES ON RAFAH ALL EYES ON RAFAH ALL EYES ON RAFAH ALL EYES ON RAFAH ALL EYES ON RAFAH ALL EYES ON RAFAH #.. RafahUnderAttack‌ #.. GazaGenocide‌ #.. AllEyesOnRaffah https://t.co/sGmDH33OcK","1795611810948902959","https://pbs.twimg.com/media/GOtLbM8bsAAKPtt.jpg","","en","","8","966","887","https://x.com/undefined/status/1795611810948902959","1371650588",
"1794864984020984070","Sun May 26 22:55:33 +0000 2024","5487","ALL EYES ON RAFAH https://t.co/P0JmZwoE8z","1794864984020984070","https://pbs.twimg.com/media/GOikMH1XIAAa3Fu.jpg","","en","","82","62","2342","https://x.com/undefined/status/1794864984020984070","757408098",
"1795265810388377690","Tue May 28 01:28:18 +0000 2024","1508","all out for Rafah https://t.co/WRLla8ShU7","1795265810388377690","https://pbs.twimg.com/media/GOoQvVaWgAAvmCj.jpg","","en","","3","38","572","https://x.com/undefined/status/1795265810388377690","757408098",
"1908962628703043641","Sun Apr 06 19:18:52 +0000 2025","775","An Israeli tank platoon lined up outside a school in Rafah which once sheltered displaced Palestinian families and unleashed a barrage of shells and indiscriminate gunfire on the building ensuring civilians could no longer seek refuge there. https://t.co/btrf8FXjE7","1908962628703043641","https://pbs.twimg.com/ext_tw_video_thumb/1908959349529079808/pu/img/63fy-Wh8B-5QgVi4.jpg","","en","","27","22","666","https://x.com/undefined/status/1908962628703043641","1791849433417617408",
"1795112436049088599","Mon May 27 15:18:50 +0000 2024","951","Milan Italy University of Milan blocked by Palestinian encampment for Rafah today https://t.co/3zyInpVNkZ","1795112436049088599","https://pbs.twimg.com/amplify_video_thumb/1795112361646313472/img/pTUEcMGs3qd8p2mO.jpg","","en","","23","29","314","https://x.com/undefined/status/1795112436049088599","757408098",
