"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1724488544335392943","Tue Nov 14 18:04:43 +0000 2023","55666","Does Israel have a right of self-defence under international law? No. As UN Special Rapporteur @FranceskAlbs explains: Israel cannot claim the right of self-defence against a threat that emanates from the territory that it occupies that is kept under belligerent occupation. https://t.co/BpCkpfIBKF","1724488544335392943","https://pbs.twimg.com/ext_tw_video_thumb/1724485624630042625/pu/img/3ijCZcyRp_7HPwOm.jpg","","en","","2217","1389","28107","https://x.com/undefined/status/1724488544335392943","3161331104",
"1847612841953472641","Sat Oct 19 12:16:43 +0000 2024","3520"," Israel has a right to target civilians . It's official. The White House State Department is confirming https://t.co/HwWbulLpSU","1847612841953472641","https://pbs.twimg.com/ext_tw_video_thumb/1847612825268543488/pu/img/EhkNPZ53P3NyXqlc.jpg","","en","","346","312","1596","https://x.com/undefined/status/1847612841953472641","1128337957289697281",
"1847673677887725675","Sat Oct 19 16:18:27 +0000 2024","30307"," Israel has a right to target civilians. Straight from the U.S. State Department. Remember this the next time they dare lecture the world about human rights. https://t.co/nu0UtyltbX","1847673677887725675","https://pbs.twimg.com/amplify_video_thumb/1847673667687239680/img/vjosJ-RIZ_tGMKGf.jpg","","en","","640","1021","12397","https://x.com/undefined/status/1847673677887725675","3293406121",
"1847358812333687029","Fri Oct 18 19:27:17 +0000 2024","885","- Israel has the right to target civilians but it also has an obligation to minimize civilian casualties and take all steps to do so. Sick https://t.co/rICEZQ7pO3","1847358812333687029","https://pbs.twimg.com/ext_tw_video_thumb/1847358801206226944/pu/img/4fLHykYnRTv_72HV.jpg","","en","","57","216","444","https://x.com/undefined/status/1847358812333687029","1128337957289697281",
"1909014446573305926","Sun Apr 06 22:44:46 +0000 2025","0","And who will be in touch with this gov to make the case for anti-Israel bias? And the blatant antisemitism? This has been jumped upon. The UK has no right to tell Israel what to do.","1909014446573305926","","","en","","0","0","0","https://x.com/undefined/status/1909014446573305926","1573513512",
"1908946280757293430","Sun Apr 06 18:13:54 +0000 2025","4","The British Left have literally campaigned to keep Trump out of the UK. Israel like any country has every right to prevent whomever they want from entering. They do not even need to give a reason. Again this holier-than-thou pontificating is so tedious now. Literally SU","1908946280757293430","","","en","","0","0","1","https://x.com/undefined/status/1908946280757293430","1360195828120485892",
"1738176210641764828","Fri Dec 22 12:34:37 +0000 2023","22672","A reminder that Israel has no right to defend itself as an occupying power under international law. The only thing Israel can do is end the occupation. Palestinians however have the legal right to defend themselves resist occupation and return to their homes.","1738176210641764828","","","en","","92","656","9203","https://x.com/undefined/status/1738176210641764828","2858419898",
"1908965649474351198","Sun Apr 06 19:30:52 +0000 2025","83","️Badenoch is right - Israel like any sovereign nation has the right to control its borders &amp; decide who enters especially when it comes to individuals who ve consistently disparaged it like these two Labour MPs. Their track record suggests they didn t visit with good faith ","1908965649474351198","","","en","","0","3","12","https://x.com/undefined/status/1908965649474351198","1655586727430434817",
"1835882611136168152","Tue Sep 17 03:24:58 +0000 2024","19060","No Israel does not have a right to defend itself in Gaza. But the Palestinians do. https://t.co/cPUy3oWb6H","1835882611136168152","","","en","","100","516","4105","https://x.com/undefined/status/1835882611136168152","1633259659",
"1908935330365141254","Sun Apr 06 19:53:47 +0000 2025","587","@AdamBienkov Israel has the right to protect Israel. A more pertinent question might be why Labour are funding an anti-Israel PR exercise from taxpayer money when we apparently can't afford winter fuel payments for pensioners on less than minimum wage?","1908971416025735453","","AdamBienkov","en","","0","29","32","https://x.com/undefined/status/1908971416025735453","1400081599",
