created_at;full_text_en;label;;;;;;;
06/04/2025;Jewish Americans like me who are highly critical of Israel: the administration is saying that there are good Jews and bad Jews! And good Jews are the ones who support Israel's actions in Gaza. And bad Jews are the people like me. We are suddenly at the center of politics of https://t.co/ZIxxF7jiYK;n;;;;;;;
06/04/2025;The real terrorists @jacksonhinklle #Yemeni #Gaza #Perfect10Liners #TrumpTariffs #Gaza_Genocide‌ https://t.co/WSk9YHFYqv;n;;;;;;;
06/04/2025;If anybody needs a chip inserted in their brain named FAFO is Satanyahuhu ..Trump should order Elon to implant one with no delays in his sick mind so the Gaza killing stops.;c;;;;;;;
06/04/2025;Is anyone surprised by this? Iranians have been telling the world for years that the terrorist Islamic Regime occupying them sends billions to Hamas terrorists. Iranians inside Iran shout No to Gaza! No to Lebanon! My life for Iran! because they are sick and tired of their https://t.co/lHumiRIDsI;p;;;;;;;
06/04/2025;Gaza and Hamas: we're winning the war against Israel. Does this video look like winning to you? https://t.co/s7wf5ikFaF;n;;;;;;;
06/04/2025;Katil ̇srail #gaza #gazaholocaust #gazagenocide;n;;;;;;;
06/04/2025;BREAKING: Reports confirm the death of General John Pagri Commander of the Special Tasks Battalion in the U.S. Army in the Gaza Strip. https://t.co/kXl9PyPrZJ;n;;;;;;;
06/04/2025;I just pledged my support to @OxfamCanada for justice dignity and peace in Gaza. Join me in standing with the people of Palestine to help them rebuild their lives and futures. Add your voice today: https://t.co/rsFkDT9xPP #StandWithGaza #JusticeForGaza;c;;;;;;;
06/04/2025;Not taking a position on Gaza is taking a position on Gaza. One you ll have to live with for the rest of your life.;c;;;;;;;
06/04/2025;We failed them. Shame on us#Gaza #GazaHolocaust #GazaGenocide https://t.co/Yb5wIPb6La;n;;;;;;;
06/04/2025;The children of Gaza stand as proof of a world that looked away. Dont look away. https://t.co/nk829amp0z;c;;;;;;;
06/04/2025;Thank you @60Minutes for your reporting on the atrocities occurring in our world. The world needs to know the true stories! #Gaza #innocentmigrants #prayingforjustice;n;;;;;;;
06/04/2025;I just donated to a family in Gaza struggling to survive the war. Every little bit helps them get food and water. Please consider helping too. Share and donate if you can!! One Love Free free Pale/stine Free free Ga/za!! &lt;c;;;;;;;
06/04/2025;Ousman Noor | INSTRUCTIONS: HOW TO STOP GAZA GENOCIDE We've launched a campaign to estbalish an international armed force to stop the Gaza Genocide. We... | Instagram https://t.co/2THoZQqyI7;c;;;;;;;
06/04/2025;Reminder to myself If I feel life is hard please remember there are people in Gaza suffering more than me. I still stand until today because God s mercy not because my power or resilience. I m weak and that s me because I m human.;c;;;;;;;
