conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username;;
1891487774408352018,Mon Feb 17 14:00:02 +0000 2025,10872,I unapologetically and proudly stand with Israel. If you feel the same let it be known.,1891487774408352018,,,en,,80,803,1437,https://x.com/undefined/status/1891487774408352018,1117210361592205312,;;
1838918878409199923,Wed Sep 25 12:30:00 +0000 2024,14393,Raise your hand if you stand with Israel. https://t.co/r2uIIPKVZe,1838918878409199923,https://pbs.twimg.com/media/GYUcfpaWYAA5R9Q.jpg,,en,,93,1523,1783,https://x.com/undefined/status/1838918878409199923,849150792422522880,;;
1860284662951694448,Sat Nov 23 11:30:00 +0000 2024,3916,This is Israel a tiny dot on the map and the only Jewish state in the world attacked on multiple fronts by radical Islam and terrorist groups surrounding us. Israel is fighting for its entire existence. Standing with Israel is the right thing to do. https://t.co/wwB9g2ZXOL,1860284662951694448,https://pbs.twimg.com/ext_tw_video_thumb/1860175670753505280/pu/img/s_-IXASZk0cAUjYW.jpg,,en,,50,415,1182,https://x.com/undefined/status/1860284662951694448,1117210361592205312,;;
1848710904629879239,Tue Oct 22 13:00:01 +0000 2024,4066,This is Israel a tiny dot on the map and the only Jewish state in the world attacked on multiple fronts by radical Islam and terrorist groups surrounding us. Israel is fighting for its entire existence. Standing with Israel is the right thing to do. https://t.co/vBaauIhPv1,1848710904629879239,https://pbs.twimg.com/ext_tw_video_thumb/1848696126586667008/pu/img/VNzXS4DxwjhUp0zA.jpg,,en,,63,395,1328,https://x.com/undefined/status/1848710904629879239,1117210361592205312,;;
1803863263048077495,Thu Jun 20 18:51:30 +0000 2024,19914,If you're a proud supporter of Israel comment below with I stand with Israel. Let s unite together on this platform.️ https://t.co/FwDnPJ5wcg,1803863263048077495,https://pbs.twimg.com/media/GQicEswW0AADvuu.jpg,,en,,195,3536,3678,https://x.com/undefined/status/1803863263048077495,1117210361592205312,;;
1711664100072157664,Tue Oct 10 08:44:57 +0000 2023,6002,Buenos Aires stands in solidarity with #Israel. 🇮🇱 https://t.co/6msS4pmZlN,1711664100072157664,https://pbs.twimg.com/ext_tw_video_thumb/1711663579110264832/pu/img/5KkvIiNy-8KgjYoQ.jpg,,en,,40,139,881,https://x.com/undefined/status/1711664100072157664,16314859,;;
1711790695097241687,Tue Oct 10 17:07:59 +0000 2023,454,The people of #Israel need your help. WATCH this video until the end to learn how to help them: #StandWithIsrael #IsraelUnderAttack #HamasMassacre https://t.co/5y98gTnlTV,1711790695097241687,https://pbs.twimg.com/amplify_video_thumb/1711790406545928192/img/M7jx8QyEaF5wc4em.jpg,,en,,15,47,240,https://x.com/undefined/status/1711790695097241687,16314859,;;
1843018392426704959,Sun Oct 06 20:00:01 +0000 2024,6316,Do you see the differences between Gaza and Tel Aviv? Don't start wars you can't win. I stand with Israel. https://t.co/1K8SNH4zzm,1843018392426704959,https://pbs.twimg.com/ext_tw_video_thumb/1842984190238683136/pu/img/g6iMbwu3x6YlW7_h.jpg,,en,,41,324,722,https://x.com/undefined/status/1843018392426704959,1117210361592205312,;;
1835622410390831474,Mon Sep 16 10:11:01 +0000 2024,4078,This is Israel a tiny dot on the map and the only Jewish state in the world attacked on multiple fronts by radical Islam and terrorist groups surrounding us. Israel is fighting for its entire existence. Standing with Israel is the right thing to do. https://t.co/dCxfSgUdBz,1835622410390831474,https://pbs.twimg.com/media/GXlw2e7WUAAwsxV.jpg,,en,,48,540,1255,https://x.com/undefined/status/1835622410390831474,1117210361592205312,;;
1712490943406878987,Thu Oct 12 15:30:32 +0000 2023,2579,Amsterdam stands in solidarity with #Israel. 🇮🇱 https://t.co/HP0q01NAi7,1712490943406878987,https://pbs.twimg.com/amplify_video_thumb/1712490882438397952/img/HWXMrmVBfgbMMF_h.jpg,,en,,9,93,382,https://x.com/undefined/status/1712490943406878987,16314859,;;
