created_at,full_text_en
2025-04-06,Jewish Americans like me who are highly critical of Israel: the administration is saying that there are good Jews and bad Jews! And good Jews are the ones who support Israel's actions in Gaza. And bad Jews are the people like me. We are suddenly at the center of politics of
2025-04-06,The real terrorists  Yemeni Gaza Perfect10Liners TrumpTariffs Gaza_Genocide
2025-04-06,If anybody needs a chip inserted in their brain named FAFO is Satanyahuhu ..Trump should order Elon to implant one with no delays in his sick mind so the Gaza killing stops.
2025-04-06,Is anyone surprised by this? Iranians have been telling the world for years that the terrorist Islamic Regime occupying them sends billions to Hamas terrorists. Iranians inside Iran shout No to Gaza! No to Lebanon! My life for Iran! because they are sick and tired of their
2025-04-06,Gaza and Hamas: we're winning the war against Israel. Does this video look like winning to you?
2025-04-06,Katil Srail Gaza Gazaholocaust Gazagenocide
2025-04-06,BREAKING: Reports confirm the death of General John Pagri Commander of the Special Tasks Battalion in the U.S. Army in the Gaza Strip.
2025-04-06,I just pledged my support to  for justice dignity and peace in Gaza. Join me in standing with the people of Palestine to help them rebuild their lives and futures. Add your voice today:  StandWithGaza JusticeForGaza
2025-04-06,Not taking a position on Gaza is taking a position on Gaza. One you ll have to live with for the rest of your life.
2025-04-06,We failed them. Shame on usGaza GazaHolocaust GazaGenocide
2025-04-06,The children of Gaza stand as proof of a world that looked away. Dont look away.
2025-04-06,Thank you  for your reporting on the atrocities occurring in our world. The world needs to know the true stories! Gaza innocentmigrants prayingforjustice
2025-04-06,I just donated to a family in Gaza struggling to survive the war. Every little bit helps them get food and water. Please consider helping too. Share and donate if you can!! One Love Free free Pale/stine Free free Ga/za!! &lt;3 &lt;3 &lt;3
2025-04-06,Ousman Noor | INSTRUCTIONS: HOW TO STOP GAZA GENOCIDE We've launched a campaign to estbalish an international armed force to stop the Gaza Genocide. We... | Instagram
2025-04-06,Reminder to myself If I feel life is hard please remember there are people in Gaza suffering more than me. I still stand until today because God s mercy not because my power or resilience. I m weak and that s me because I m human.
2025-01-25,To mark International Education Day  has released a short film Our Universities Live On: Testimonials of Hope created in collaboration with students and academics in Gaza. Despite over 400 days of destruction displacement and siege they continue to fight for their
2025-04-06,His name is Hamza Abu Issa
2025-04-06,Just couldn t vote for Kamala- something about the sound of her laughter. She warned you! stockmarketcrash Crypto MAGA Trump NFL NHL MLB FinalFour WorldCup tarrifs Veterans hurricane earthquake tornado Russia Gaza Houthi Yemen
2025-01-20,Suspension for Gaza is the highest honor! repost from  on instagram
2025-04-06,Hamas launches missiles from Gaza. Time to finally level the damn place.
2025-04-06,Please don't stop talking about Gaza
2025-04-06,Russia was always guaranteed to win Trump TrumpTariffs zelena LIVEVE Munster Gaza garnacho MUFC
2025-04-06,EU sucks 100% Russia is good at developing MUFC Garnacho Gaza Dorgu
2025-04-06,We are dying of hunger We are dying of hunger We are dying of hunger We are dying of hunger We are dying of hunger We are dying of hunger We are dying of hunger We are dying of hunger We are dying of hunger
2025-04-06,most of the Gaza protestors are:
2025-04-06,Abdel Hadi the President of Palestine's Children Council - Gaza Strip
2025-04-06,Salute to the courage of this lady for expressing herself in this big forum at Microsoft. IsraeliWarCrimes Gaza GazaHolocaust
2025-04-06,The IDF Crimes Against Humanity. StopTradeWithSettlements EndIsraeliImpunity SanctionIsrael AparthiedIsrael IsraeliNewNazism StopArmingIsrael IsraelTerroristState EndZionism StopArmingIsraelNOW UNseatIsrael FreePalestine Gaza GazaGenocide GazaHolocaust
2025-04-06,Stop the holocaust in Gaza
2025-04-06,Stop the world for Gaza!
2025-04-06,Documentation from the moment of the fall in the city of Ashkelon. IsraelUnderFire Gaza
2025-04-06,Help Obada's family escape from gaza war and reclaim their lives. Please support this GoFundMe by donating or sharing every bit of help makes a difference.
2025-04-06,I was able to match the last $10 for 's new campaign - can anyone else do the same? He had to leave his family behind in Gaza when he finally got the chance of medical evacuation for his own severe injuries - please help him to make sure they're provided for.
2025-04-06,MOROCCO - Rabat for a FreePalestine and stop Gaza genocide
2025-02-27,BBC finds serious flaws in making of Gaza documentary and says there are no plans to air it again in current form
2025-03-18,At least 330 people killed in Israeli air strikes on Gaza says Hamas-run Gaza health ministry Follow live
2025-04-06,All they do is lie: The Palestinian Info Center which has half a million followers on Facebook has posted a photo of actress Katherine Heigl who played Dr. Izzie Stevens in Grey s Anatomy identifying her as a French doctor who has traveled to Gaza to offer medical help.
