created_at;full_text_en;label
17/02/2025;I unapologetically and proudly stand with Israel. If you feel the same let it be known.;p
25/09/2024;Raise your hand if you stand with Israel. https://t.co/r2uIIPKVZe;p
23/11/2024;This is Israel a tiny dot on the map and the only Jewish state in the world attacked on multiple fronts by radical Islam and terrorist groups surrounding us. Israel is fighting for its entire existence. Standing with Israel is the right thing to do. https://t.co/wwB9g2ZXOL;p
22/10/2024;This is Israel a tiny dot on the map and the only Jewish state in the world attacked on multiple fronts by radical Islam and terrorist groups surrounding us. Israel is fighting for its entire existence. Standing with Israel is the right thing to do. https://t.co/vBaauIhPv1;p
20/06/2024;If you're a proud supporter of Israel comment below with I stand with Israel. Let s unite together on this platform.️ https://t.co/FwDnPJ5wcg;p
10/10/2023;Buenos Aires stands in solidarity with #Israel. 🇮🇱 https://t.co/6msS4pmZlN;p
10/10/2023;The people of #Israel need your help. WATCH this video until the end to learn how to help them: #StandWithIsrael #IsraelUnderAttack #HamasMassacre https://t.co/5y98gTnlTV;p
06/10/2024;Do you see the differences between Gaza and Tel Aviv? Don't start wars you can't win. I stand with Israel. https://t.co/1K8SNH4zzm;p
16/09/2024;This is Israel a tiny dot on the map and the only Jewish state in the world attacked on multiple fronts by radical Islam and terrorist groups surrounding us. Israel is fighting for its entire existence. Standing with Israel is the right thing to do. https://t.co/dCxfSgUdBz;p
12/10/2023;Amsterdam stands in solidarity with #Israel. 🇮🇱 https://t.co/HP0q01NAi7;p
09/10/2023;The world stands with #Israel. 🇮🇱 #IsraelUnderAttack #StandWithIsrael #HamasMassacre https://t.co/qBSFHXzEf7;p
10/10/2023;Zurich Switzerland stands with #Israel. 🇮🇱 https://t.co/4pPz9oY80L;p
05/10/2024;If you stand with Israel. Drop a 🇮🇱 and follow each other. Together we re stronger. https://t.co/cXbI5JiPc4;p
03/11/2024;Standing with Israel is the most moral choice anyone can ever take. If you support Israel feel free to comment I stand with Israel . 🇮🇱 https://t.co/acL9jy9l4b;p
02/08/2024;We will always stand with #Israel even if the war expands to a comprehensive war because Israel is defending itself and its existence against Islamic terrorism. https://t.co/PofvmHjITR;p
07/03/2025;This is Israel a tiny dot on the map and the only Jewish state in the world attacked on multiple fronts by radical Islam and terrorist groups surrounding us. Israel is fighting for its entire existence. Standing with Israel is the right thing to do. https://t.co/bXQZ92kJiS;p
01/02/2025;If you're Jewish or are an ally comment below I stand with Israel. Let's unite together on this platform🇮🇱 https://t.co/pGQGTFCZMp;p
08/10/2023;Puerta del Sol Madrid lit up in support of #Israel. 🇮🇱 #StandWithIsrael https://t.co/uT9WyIXIQm;p
12/10/2024;They might try to silence the truth but together we can ensure it s heard. 🇮🇱 Every share every comment helps break the silence. Stand with me stand for the truth! Drop your flag and show your support! 🇺🇸🇬🇧🇨🇦🇫🇷🇦🇺🇩🇪🇮🇹🇧🇷🇮🇳🇯🇵🇵🇱🇺🇦 @daniel02667 #IStandWithIsrael https://t.co/9LafErXVtV;p
21/10/2023;SHARE if you support #Israel s right to defend itself! 🇮🇱 #StandWithIsrael https://t.co/61DZNstwFs;p
02/11/2023;Prague Czech Republic shows unwavering support for #Israel. Watch the spirited gathering at Old Town Square. 🇨🇿🇮🇱 #StandWithIsrael https://t.co/BLqOrXEpqM;n
20/11/2023;Back to basics: History can't be rewritten. The #Jewish people are indisputably indigenous to the land of #Israel. Let facts speak louder than any doubt. #StandWithIsrael https://t.co/MwTT6GA9z5;p
21/03/2025; Candace as a Christian you must know how God feels about Israel. He made a covenant with them &amp  Jews as his chosen ppl. We r supposed to stand with Isreal as part of a covenant with God. Messianic Jews believe Christ was the son of God https://t.co/9QmPDiNHKG;p
28/06/2024;#Israel is and always has been the #Jewish people's one and only true home...and that home is now under attack. #StandWithIsrael #IsraelUnderAttack https://t.co/kSLLO9gkMe;p
15/10/2023;#Israel is and always has been the Jewish people's one and only true home...and that home is now under dire threat. #StandWithIsrael #IsraelUnderAttack #HamasMassacre #HamasIsISIS https://t.co/N70IaHuSFz;p
24/12/2024;Standing with Israel is God's will. Standing with Israel upholds justice and truth. Standing with Israel is a stand against terrorism. Standing with Israel means standing on the right side of history. https://t.co/Cu5IyQFSr4;p
17/10/2024;Raise your hand if you stand with Israel. https://t.co/Ni4Fp6MUsy;p
16/01/2025;When the world watches in silence will you? Show where you stand. Respond with your flag and let your voice be seen. #StandWithIsrael https://t.co/iozPBrV1vi;n
02/04/2025;Isreal owned the land first God allowed foreign invaders in because of their unbelief. Palestine was the name enemies of Isreal gave them to mock them (it means Philistines in Latin) Isreal is God s people I will stand with them and I will pray they repent and turn back!;p
14/09/2024;Standing with Israel is God's will. Israel is here to stay. https://t.co/EZEmLP2utk;p
02/10/2024;Just as the world begins to pressure us to stop help fight for the free world s battle. Drop your flag and our flag in the comments to show your support! 🇮🇱 #StandWithIsrael #SupportIsrael https://t.co/E3t9kv9u8o;n
23/09/2024;🇮🇱 SHARE if you support #Israel's right to defend itself from terrorism 🇮🇱 https://t.co/7KAR04Wj6a;p
30/10/2023;Israel has not only the right but the duty to defend itself and its citizens. #StandWithIsrael #IsraelUnderAttack #HamasMassacre #HamasIsISIS #FreeGazaFromHamas https://t.co/UNtW7gLqpz;p
03/11/2023;A disturbing message in Las Vegas: A stark reminder of rising #antisemitism and the urgent need for unity against hate. Via: Gal Adiv #StandWithIsrael https://t.co/bEqNeV5Pfi;p
19/06/2024;#Hezbollah is leading the area to #war. #Israel has every right to defend itself. #IsraelUnderAttack https://t.co/bxArrvtMO8;n
26/03/2025;@ValentinaForUSA Go stand with Isreal in Isreal. https://t.co/jGFXn4L7m8;n
07/10/2024;I Stand with Israel 🇮🇱 #StandWithIsrael https://t.co/cYVgMV5qN0;p
27/11/2024;Stand with Israel. For our people our land and our future. Together we defend freedom and unity. 🇮🇱 Share and comment with a flag to show your support! 🇮🇱 https://t.co/cQZI7k3PaJ;p
13/01/2025;This is Israel a tiny dot on the map and the only Jewish state in the world attacked on multiple fronts by radical Islam and terrorist groups surrounding us. Israel is fighting for its entire existence. Standing with Israel is the right thing to do. https://t.co/71lJPn75fL;p
26/10/2023;Princeton University stands with #Israel. 🇮🇱 https://t.co/zfdOsOx8Tm;n
21/11/2023;Israel does everything it can to protect innocent lives. #Hamas does everything it can to end them. #StandWithIsrael #FreeGazaFromHamas https://t.co/1xTwUMHZBl;p
09/10/2023;Czech Republic stands in solidarity with #Israel. 🇮🇱️ https://t.co/g4d5QnrFk7;p
16/11/2023;In these dark times remember #Israel is NOT alone. 🇮🇱 #StandWithIsrael https://t.co/P2Po8lqDwV;p
09/02/2024;When you stand with #Israel and against #Hamas you are standing with democracy and against those forces that threaten to destroy it. https://t.co/IrpH8h6T1C;p
01/02/2024;This is #Israeli resilience embodied: even in the midst of war - a war that was forced upon the people of #Israel by a genocidal terrorist organization - love triumphs over all. Am Yisrael Chai. 🇮🇱 https://t.co/j8s1uCwLGj;p
15/10/2023;This is the unfathomable reality for countless children in #Israel right now. #StandWithIsrael #IsraelUnderAttack #HamasMassacre #HamasIsISIS https://t.co/rJFCy8agCR;p
12/10/2023;WATCH: StandWithUs CEO and Co-Founder @RozRothstein's impassioned speech during a Beverly Hills rally in solidarity with #Israel. Am Yisrael Chai. 🇮🇱 #StandWithIsrael #IsraelUnderAttack #HamasMassacre https://t.co/Di0EbHmrHn;n
08/03/2025;Hamas is expanding. Now on college campuses in the U.S. This terror group must be destroyed. The U.S. must stand with Isreal to defeat these barbarians. https://t.co/zIvPc4Bmg1;p
26/04/2024;United with Israel March led by Christian organizations at Columbia University.⠀ #BringThemHome⠀ : Liora Lerner https://t.co/lsPNS9zeUG;n
11/05/2024;Israel is and always has been the Jewish people's one and only true home...and that home is now under dire threat. #StandWithIsrael #IsraelUnderAttack #HamasMassacre https://t.co/e87EwTc1Bb;p
09/03/2024;Another I Stand With Israel follow each other pinned post As the last one was successful with over 1 000 comments I want to use this platform to unite all of us together. I am pinning this post for 2 days. Show your presence follow each other we are stronger together https://t.co/MPrZsH4EsW;p
04/11/2023;WATCH: Here s what you can do to help the people of #Israel in the wake of Hamas atrocities and the ensuing anti-Israel hatred. (Visit https://t.co/uwYHs5w5wt for more) https://t.co/EOAuD6z91G;n
27/10/2024;Israel is not just fighting for its survival but also against the enemies of civilization completely alone. Now more than ever everyone should stand with Israel unwaveringly. https://t.co/gPxvaW04tP;p
13/11/2023;StandWithUs Midwest chapter organized for hundreds of people to peacefully came out to support Israel in Northbrook Illinois on November 12 in response to a pro-#Hamas rally. Am Yisrael Chai. 🇮🇱 #StandWithIsrael https://t.co/wK0TV34ozh;n
06/08/2024;Supporting #Israel means supporting humanity. Speaking out against #Hamas terrorism means supporting humanity. #StandWithIsrael https://t.co/J77yjLoY87;p
28/03/2025;@LionsOfZion_ORG I stand with Isreal! https://t.co/Jn2rpBDcvW;p
10/10/2023;The White House lit up in blue and white in solidarity with Israel tonight. The U.S. stands with the people of Israel 🇺🇸 🇮🇱 #StandWithIsrael https://t.co/0AooHgWkUF;n
06/11/2023;Supporting #Israel means supporting humanity. Speaking out against #Hamas terrorism means supporting humanity. #StandWithIsrael #FreeGazaFromHamas https://t.co/4vuJhPfkW1;p
12/03/2025;If you're a proud supporter of Israel comment below with I stand with Israel. Let s unite together on this platform.️ https://t.co/fPdqahJXeb;p
23/08/2024;Hawaii stands with Israel. 🇮🇱 Via: jonny_cohen17 https://t.co/r1Sfb5QeM8;p
06/08/2024;Now and always we stand with #Israel! #AmYisraelChai! 🇮🇱 https://t.co/OMwtYuz6Pq;p
09/10/2023;Israel is strong and #Israel will prevail! 🇮🇱 https://t.co/ANNY8xXeiQ;p
09/10/2023;Amazing video from #Israel: Countless #Israelis show their love to the @IDF soldiers including setting up refreshment stops as they prepare to defend the country from Palestinian terrorists. Am Yisrael Chai. 🇮🇱 #StandWithIsrael #IsraelUnderAttack #HamasMassacre https://t.co/0G3Da4Mzyf;n
02/11/2024;Share if you stand with the people of Israel! https://t.co/LBAEMy4Vph;n
14/10/2024;If you support Israel &amp;n
14/11/2024;If you're a proud supporter of Israel comment below with I stand with Israel. Let s unite together on this platform.️ https://t.co/BCSTtOZHlk;n
09/03/2024;We couldn't have said it better. #Israel a beacon of hope and resilience destined to endure and flourish. 🇮🇱 https://t.co/17Me5OigeM;n
23/03/2025;Ireland stands with #Isreal All the smart ones stand with Israel 🇮🇱 ️️️️;p
06/04/2025;@Osint613 I stand with Isreal. https://t.co/4lVPYMdvFx;p
16/12/2024;Stand with Israel. It's a biblical mandate 🇮🇱;p
01/04/2025;#I_Iran #thirteen_bad #Javidshah_Marz_Price @jonathanmajburd thank you for sufficporting freedom for Iran in the way. King Reza Pahlavi ️ iranians Stand with Isreal ️ Cyrus Accords ️ https://t.co/d6tw0psddd;p
04/11/2023;A united #Israel is an Israel that will prevail over the evils of #Hamas terrorism. @gantzbe https://t.co/fwB3CZ1rUk;p
02/10/2024;The support and solidarity from all of you my friends will never be forgotten. The Ayatollah regime has crossed the red line and the State of Israel will not remain silent in the face of Iran's brutal attack on our citizens. Stand with Israel against Iran!;p
06/04/2025;Isreal can do what it wants and nobody in the so called democratic western world has the guts to stand up against them and speak the truth which is the state of Israel are mass murdering Palestinians. I will never vote for again disgusted with the British political class;c
01/10/2024;Once again the Iranian regime is attacking Israel directly and has been doing so indirectly for over a year via its proxies. Israel has every right to defend itself. Now more than ever we stand with the people of Israel and pray for their safety. Am Yisrael Chai. https://t.co/lXqn85QIYs;n
04/10/2024;Now and always we stand with the people of Israel. Am Yisrael Chai! https://t.co/DYpBUdiFHo;p
06/04/2025;@EdwardMorelloWD @CommonsForeign I stand with Isreal;p
