created_at;full_text_en;label;
06/04/2025;can you not and besides the issue of genocide in the DRC. Even after 2-3 years don t buy one.; n;
06/04/2025;If anybody needs a chip inserted in their brain named FAFO is Satanyahuhu ..Trump should order Elon to implant one with no delays in his sick mind so the Gaza killing stops.;c;
06/04/2025;I just pledged my support to @OxfamCanada for justice dignity and peace in Gaza. Join me in standing with the people of Palestine to help them rebuild their lives and futures. Add your voice today: https://t.co/rsFkDT9xPP #StandWithGaza #JusticeForGaza;c;
06/04/2025;Not taking a position on Gaza is taking a position on Gaza. One you ll have to live with for the rest of your life.;c;
06/04/2025;The children of Gaza stand as proof of a world that looked away. Dont look away. https://t.co/nk829amp0z;c;
06/04/2025;I just donated to a family in Gaza struggling to survive the war. Every little bit helps them get food and water. Please consider helping too. Share and donate if you can!! One Love Free free Pale/stine Free free Ga/za!! &lt;c;3 https://t.co/knNpIx2tO0
06/04/2025;Ousman Noor | INSTRUCTIONS: HOW TO STOP GAZA GENOCIDE We've launched a campaign to estbalish an international armed force to stop the Gaza Genocide. We... | Instagram https://t.co/2THoZQqyI7;c;
06/04/2025;Reminder to myself If I feel life is hard please remember there are people in Gaza suffering more than me. I still stand until today because God s mercy not because my power or resilience. I m weak and that s me because I m human.;c;
20/01/2025;Suspension for Gaza is the highest honor! repost from @ColumbiaBDS on instagram https://t.co/oVEqLA1ls1;c;
06/04/2025;Please don't stop talking about Gaza https://t.co/oVE54ScaPK;c;
06/04/2025;Salute to the courage of this lady for expressing herself in this big forum at Microsoft. #IsraeliWarCrimes #Gaza #GazaHolocaust https://t.co/XfwJmp8lWR;c;
06/04/2025;The IDF Crimes Against Humanity. #StopTradeWithSettlements #EndIsraeliImpunity #SanctionIsrael #AparthiedIsrael #IsraeliNewNazism #StopArmingIsrael #IsraelTerroristState #EndZionism #StopArmingIsraelNOW #UNseatIsrael #FreePalestine #Gaza #GazaGenocide‌ #GazaHolocaust;c;
06/04/2025;Stop the holocaust in Gaza;c;
06/04/2025;Stop the world for Gaza!;c;
06/04/2025;Help Obada's family escape from gaza war and reclaim their lives. Please support this GoFundMe by donating or sharing every bit of help makes a difference. https://t.co/44e3sHqaNa;c;
06/04/2025;I was able to match the last $10 for @diyaa_akram12's new campaign - can anyone else do the same? He had to leave his family behind in Gaza when he finally got the chance of medical evacuation for his own severe injuries - please help him to make sure they're provided for.;c;
06/04/2025;MOROCCO - Rabat for a #FreePalestine and stop #Gaza genocide;c;
06/04/2025;All they do is lie: The Palestinian Info Center which has half a million followers on Facebook has posted a photo of actress Katherine Heigl who played Dr. Izzie Stevens in Grey s Anatomy identifying her as a French doctor who has traveled to Gaza to offer medical help. https://t.co/vPH9Fpq5wZ;c;
06/04/2025;America is already directly responsible for genocide in Gaza. If we have combat troops on the ground there our nation has crossed the Rubicon.;c;
06/04/2025;Stop the #Genocide_in_Gaza please;c;
06/04/2025;#Qaza #Palestine Gaza is the City of Resilience and Patince. https://t.co/prnddjlCN;c;
06/04/2025;🇵🇸 Please help Oday and his family by donating and sharing‼️ https://t.co/qaLXiJLS1m;c;
06/04/2025;This is the prominent leader targeted by American aircraft: the martyr Sarim Ibn Sheikh Saleh Al-Suhaili. One of the martyrs of the American aggression on their home in the Saawan area of ​​Sana'a. The children of Yemen are no less important than the children of Gaza. #غزة_تُباد https://t.co/ZEpmHnUJoU;c;
06/04/2025;People have no idea how tiny of a strip Gaza is &amp;c; the harsh truth is it doesn't even guarantee stability more destruction to come. Ya Allah
04/04/2025;@vishalsingh_oo1 @argfootball2025 I think the issue with Indians is their ignorance. For instance most think that Kashmir is horrific where around 300-400 children died but don't think Gaza is a genocide where 20 000 children have been killed and where Is;c;
06/04/2025;Kids in Gaza aren t asking for justice. They re asking for water. For light. For a night without drones overhead. If that doesn t haunt you you re not paying attention.;c;
06/04/2025;'We don't have water to drink. We need your support to provide water for us'. @Dalia_qandeel's campaign has received no support at all for the last two days - please help her and her three young children: https://t.co/UpTJ183vwF;c;
20/01/2025;from @ColumbiaBDS on IG: Last week Columbia held 22 disciplinary hearings against alleged student protestors from the Gaza Solidarity Encampment. During their hearings students spoke bravely about their commitment to fighting towards a free Palestine and forced the University https://t.co/IEewp3aXZP;c;
06/04/2025;The world failed Gaza. Palestine. We will never forgive never forget. If someone says one bad thing about Hitler after all of this. he just should act earlier maybe there was a chance. With all respect to normal jews. Zionists are not humans not animals. They re hell on Earth;c;
07/12/2024;But the fight is far from over. As the humanitarian crisis in Gaza worsens UlC must actively work to incorporate the Palestinian perspective into its programs and partnerships. The School of Public Health cannot claim to stand for equity and social justice without addressing the https://t.co/OhapqsKG46;c;
18/03/2025;After two weeks of a brutal siege which denied Palestinians life-saving humanitarian aid and drone strikes that have killed dozens the Israeli Occupation forces have renewed their escalated bombardment of Gaza and announced a total collapse of the ceasefire. #AllEyesOnGaza https://t.co/h6LnxF1oF6;c;
06/04/2025;Powerful show of force to the warmongers and billionaires that the people will not be intimidated and that we will remain on the streets in defense of the Palestinian people and our collective humanity. 🇵🇸FREE PALESTINE! End the US-backed Israeli genocide in Gaza! https://t.co/huPsZegTYI;c;
06/04/2025;Notice how the racist Chabad princess makes sure to use the photo that associates Khalil (Gaza) with the supposedly deranged libtard (But the most retarded part is thinking '86' means to kill lol);c;
15/01/2025;We the Student Movement for Palestinian Liberation commit to the fight ahead. We will not rest until we achieve divestment secure an arms embargo and end the siege on Gaza. https://t.co/26kwe8FjWb;c;
06/04/2025;There is a journalist burning on fucking live feed in Gaza right now and of course this is supposed to be normal.;c;
06/04/2025;Those in Gaza who aren t directly bombed by Israel are being starved to death as Israel prevents humanitarian aid to get through. https://t.co/MrKHdyxbn6;c;
07/10/2024;The American University in Cairo Today a year into the genocide in Gaza AUC students climbed to the rooftop of the SSE building during assembly hour to raise two banners so all campus could see. The 1st banner reads: ONE YEAR OF GENOCIDE The 2nd reads: Today it's https://t.co/E9une7OkOQ;c;
06/04/2025;Free Phalastİna Free Gaza. https://t.co/eH1rQD0J1R;c;
21/11/2024;ALL OUT TO SARAH LAWRENCE COLLEGE! DEFEND THE STUDENT INTIFADA! For over 400 days our institutions have ignored the genocide of our people in Gaza we DEMAND that they disclose their financial investments and they DIVEST FROM DEATH 🇵🇸 🇵🇸 Rally to Demand Disclosure Divestment https://t.co/oHGZQcIE8k;c;
06/04/2025;Undersecretary of the Ministry of Health in Gaza: During the war 52 deaths among children were recorded due to malnutrition and we are facing new numbers unless food supplies are allowed in.*;c;
06/04/2025;International calls for a global strike on Monday April 7 in solidarity with Gaza and in rejection of the ongoing Israeli massacres against Palestinians. https://t.co/2viDSUITsG;c;
06/04/2025;Israel is committing genocide in Gaza;c;
31/12/2024;While the U.S. Empire and the Zionist entity increased their aggression against our families and loved ones in Gaza and across the region the Student Movement across the world stood up and fought back against their institutions' complicity in genocide. https://t.co/CU9xdyZF64;c;
15/11/2024;Tufts has bent to the zionist donors of this school but its students will not. We are asking the students of this university to hear the cry of Gaza and re-commit themselves for the fight towards divestment. Together we will help create a free Palestine within our lifetimes. https://t.co/UKG15Xxk1n;c;
12/03/2025;While the US ramps up its militaristic repression at home it is enabling the Zionist entity in cutting off electricity to Gaza. This is what Mahmoud was protesting against. American fascism and Zionism go hand in hand.;c;
06/04/2025;When massacre of Muslims taking place in Gaza I'm horrifying to read Muslim priorities other then this on social media please voice for this unlawful killings in GAZZA;c;
06/04/2025;Don t stop talking about Gaza;c;
04/04/2025;@Partisangirl The footage from Gaza is several order of magnitude worse than the footage of the holocaust Vietnam and even Dresden combined.;c;
06/04/2025;@MosabAbuToha @owenjonesjourno I might be the next martyr This is our reality this is the voice of Gaza. How long will this nightmare last?;c;
19/01/2025;As the ceasefire begins we honor the incredible resilience and sacrifice of the people of Gaza. Let s continue to support mutual aid efforts and organize to eradicate Zionism on our campuses. Our work has only just begun.;c;
14/10/2023;Between Jakarta's poor air quality my allergies and continuous horrific updates about war crime in #Gaza I didn't get much sleep last night. Other than praying donating and amplifying the underreported ground truth what else can we do? #PalestineGenocide;c;
06/04/2025;Shout out to Karachi merchants striking for Gaza while we host Netanyahu in Washington.;c;
06/04/2025;Sadly they cannot trust anyone in Gaza so I don t blame them for rather safe than sorry situation.;c;
25/01/2025;95% of Gaza's schools have been destroyed. Youth already deprived of 3 years of education due to COVID-19 and war now face a 30% drop in future earnings. This isn t just an attack on education it s an attack on an entire generation s future.;c;
06/04/2025;They've made Gaza a death trap both physically and mentally;c;
06/04/2025;Is This The World We Created? https://t.co/4FsqslAKE3 It is all a part of the same phenomenon. Western governments actively assisting genocide in Gaza;c; rampant Islamophobia boosting the rise https://t.co/FF5JQFAVnO
13/03/2025;For the past 13 days and during the holy month of Ramadan Israel has refused to allow the entry to any humanitarian aid into Gaza. At the same time Zionist attempts to ethnically cleanse the West Bank have intensified. This month and every month we will continue to show out;c;
06/04/2025;The news from Gaza is utterly horrific. From the West Bank too. And from Lebanon. The over militarisation of any country leads inevitably to invasions and then to world conflict. Is this what those who support the above want? Is that what you voted for in the UK and US?;c;
05/04/2025;@suanchinfoo @inti_now There is no 'war' going on in Gaza.;c;
06/04/2025;STOP BOMBING GAZA STOP TARGETING JOURNALISTS;c;
06/04/2025;Israel Leveled Gaza Then Killed the Drone Journalists Who Showed it to the World Only drones can begin to capture the scale of destruction in the Gaza Strip. The journalists doing it were targeted again and again. https://t.co/0iHFca4GJj;c;
06/04/2025;The Guardian provides a full account of diabolical war crime. Israeli military changes account of Gaza paramedics killing after video of attack https://t.co/v2qwg3x1bO;c;
18/03/2025;The genocide never ended and we will never be silenced. We continue to stand with our brothers and sisters in Gaza in the face of this continued onslaught. #AllEyesOnGaza #GazaUnderAttack;c;
06/04/2025;Dupes manipulated by the Muslim Brotherhood captured on video. Everyone of our cops should spend time with the IDF in Gaza to learn how these terrorrists roll. Frigging ridiculuous.;c;
01/01/2025;As healthcare workers and students we have a moral imperative to use all available resources and channels to ensure the safety and protection of healthcare workers in Gaza particularly Dr. Abu Safiya whose life and work are in immediate danger.;c;
06/04/2025;@Beehiveursel Why not? Churches in Gaza have tons of crosses and Palestinian Christians have no problem. Wtf are you talking about?;c;
06/04/2025;@lautarivier @PhilPh62467 @ChantalCla40959 Not even the IDF claims that. You lie https://t.co/Xftu0Sgfdp;c;
04/11/2023;do what u can as simple as pray. dont stop talking about this genocide braw! https://t.co/P7npbQg9J4;c;
