created_at,full_text_processed,label
06/04/2025,anybodi need chip insert brain name fafo satanyahuhu trump order elon implant one delay sick mind gaza kill stop,0
06/04/2025,pledg support justic digniti peac gaza join stand peopl palestine help rebuild live futur add voic today standwithgaza justiceforgaza,0
06/04/2025,take posit gaza take posit gaza one live rest life,0
06/04/2025,children gaza stand proof world look away dont look away,0
06/04/2025,donat famili gaza struggl surviv war everi littl bit help get food water plea consid help share donat one love free free palestine free free gaza lt,0
06/04/2025,ousman noor instruct stop gaza genocide weve launch campaign estbalish intern arm forc stop gaza genocide instagram,0
06/04/2025,remind feel life hard plea rememb peopl gaza suffer still stand today god merci power resili weak human,0
20/01/2025,suspen gaza highest honor repost instagram,0
06/04/2025,plea dont stop talk gaza,0
06/04/2025,salut courag ladi express big forum microsoft israeliwarcrim gaza gazaholocaust,0
06/04/2025,idf crime human stoptradewithsettl endisraeliimpun sanctionisrael aparthiedisrael israelinewnaz stoparmingisrael israelterroristst endzion stoparmingisraelnow unseatisrael freepalestin gaza gazagenocid gazaholocaust,0
06/04/2025,stop holocaust gaza,0
06/04/2025,stop world gaza,0
06/04/2025,help obada famili escap gaza war reclaim live plea support gofundm donat share everi bit help make differ,0
06/04/2025,abl match last new campaign anyon el leav famili behind gaza final got chanc medic evacu sever injuri plea help make sure theyr provid,0
06/04/2025,morocco rabat freepalestin stop gaza genocide,0
06/04/2025,lie palestinian info center half million follow facebook post photo actress katherin heigl play dr izzi steven grey anatomi identifi french doctor travel gaza offer medic help,0
06/04/2025,america alreadi directli respon genocide gaza combat troop ground nation cross rubicon,0
06/04/2025,stop genocide gaza plea,0
06/04/2025,qaza palestine gaza citi resili patinc,0
06/04/2025,plea help oday famili donat share,0
06/04/2025,promin leader target american aircraft martyr sarim ibn sheikh saleh alsuhaili one martyr american aggress home saawan area sanaa children yemen less import children gaza,0
06/04/2025,peopl idea tini strip gaza,0
04/04/2025,think issu indian ignor instanc think kashmir horrif around children die dont think gaza genocide children kill,0
06/04/2025,kid gaza ask justic ask water light night without drone overhead haunt pay attent,0
06/04/2025,dont water drink need support provid water us campaign receiv support last two day plea help three young children,0
20/01/2025,ig last week columbia held disciplinari hear alleg student protestor gaza solidar encamp hear student spoke brave commit fight toward free palestine forc univ,0
06/04/2025,world fail gaza palestine never forgiv never forget someon say one bad thing hitler act earlier mayb chanc respect normal jew zionist human anim hell earth,0
07/12/2024,fight far humanitarian crisi gaza worsen ulc must activ work incorpor palestinian perspect program partnership school public health claim stand equiti social justic without address,0
18/03/2025,two week brutal sieg deni palestinian lifesav humanitarian aid drone strike kill dozen israel occup forc renew escal bombard gaza announc total collap ceasefir alleyesongaza,0
06/04/2025,power show forc warmong billionair peopl intimid remain street defen palestinian peopl collect human free palestine end usback israel genocide gaza,0
06/04/2025,notic racist chabad princess make sure use photo associ khalil gaza supposedli derang libtard retard part think mean kill lol,0
15/01/2025,student movement palestinian liber commit fight ahead rest achiev divest secur arm embargo end sieg gaza,0
06/04/2025,journalist burn live feed gaza right cour suppo normal,0
06/04/2025,gaza directli bomb israel starv death israel prevent humanitarian aid get,0
07/10/2024,american univ cairo today year genocide gaza auc student climb rooftop sse build assembl hour rai two banner campu could see st banner read one year genocide nd read today,0
06/04/2025,free phalastina free gaza,0
21/11/2024,sarah lawrenc colleg defend student intifada day institut ignor genocide peopl gaza demand disclo financ invest divest death ralli demand disclosur divest,0
06/04/2025,undersecretari ministri health gaza war death among children record due malnutrit face new number unless food suppli allow,0
06/04/2025,intern call global strike monday april solidar gaza reject ongo israel massacr palestinian,0
06/04/2025,israel commit genocide gaza,0
31/12/2024,us empir zionist entiti increa aggress famili love one gaza across region student movement across world stood fought back institut complic genocide,0
15/11/2024,tuft bent zionist donor school student ask student univ hear cri gaza recommit fight toward divest togeth help creat free palestine within lifetim,0
12/03/2025,us ramp militarist repress home enabl zionist entiti cut electr gaza mahmoud protest american fascism zionism go hand hand,0
06/04/2025,massacr muslim take place gaza im horrifi read muslim prioriti social media plea voic unlaw kill gazza,0
06/04/2025,stop talk gaza,0
04/04/2025,footag gaza sever order magnitud wor footag holocaust vietnam even dresden combin,0
06/04/2025,might next martyr realiti voic gaza long nightmar last,0
19/01/2025,ceasefir begin honor incr resili sacrif peopl gaza let continu support mutual aid effort organ erad zionism campu work begun,0
14/10/2023,jakarta poor air qualiti allergi continu horrif updat war crime gaza didnt get much sleep last night pray donat amplifi underreport ground truth el palestinegenocid,0
06/04/2025,shout karachi merchant strike gaza host netanyahu washington,0
06/04/2025,sadli trust anyon gaza blame rather safe sorri situat,0
25/01/2025,gaza school destroy youth alreadi depriv year educ due covid war face drop futur earn attack educ attack entir gener futur,0
06/04/2025,theyv made gaza death trap physic mental,0
06/04/2025,world creat part phenomenon western govern activ assist genocide gaza,0
13/03/2025,past day holi month ramadan israel refu allow entri humanitarian aid gaza time zionist attempt ethnic clean west bank intensifi month everi month continu show,0
06/04/2025,news gaza utterli horrif west bank lebanon militari countri lead inevit inva world conflict support want vote uk us,0
05/04/2025,war go gaza,0
06/04/2025,stop bomb gaza stop target journalist,0
06/04/2025,israel level gaza kill drone journalist show world drone begin captur scale destruct gaza strip journalist target,0
