id;tweet;sentiment
1;The UN released a new report regarding the humanitarian crisis in Gaza.;neutral
2;The current death toll has risen according to several local sources.;neutral
3;Israeli military operations continue in several areas of Gaza Strip.;neutral
4;Humanitarian aid was delivered through the Rafah crossing this morning.;neutral
5;Multiple media outlets report rising tensions in the region.;neutral
6;Footage from southern Gaza shows destroyed buildings and displaced families.;neutral
7;The ceasefire negotiation has not reached a final agreement yet.;neutral
8;Social media trends show growing global attention to the conflict.;neutral
9;A new resolution was proposed by the UN regarding the conflict.;neutral
10;Journalists are reporting difficulties entering certain areas in Gaza.;neutral
11;The UN released a new report regarding the humanitarian crisis in Gaza.;neutral
12;The current death toll has risen according to several local sources.;neutral
13;Israeli military operations continue in several areas of Gaza Strip.;neutral
14;Humanitarian aid was delivered through the Rafah crossing this morning.;neutral
15;Multiple media outlets report rising tensions in the region.;neutral
16;Footage from southern Gaza shows destroyed buildings and displaced families.;neutral
17;The ceasefire negotiation has not reached a final agreement yet.;neutral
18;Social media trends show growing global attention to the conflict.;neutral
19;A new resolution was proposed by the UN regarding the conflict.;neutral
20;Journalists are reporting difficulties entering certain areas in Gaza.;neutral
21;The UN released a new report regarding the humanitarian crisis in Gaza.;neutral
22;The current death toll has risen according to several local sources.;neutral
23;Israeli military operations continue in several areas of Gaza Strip.;neutral
24;Humanitarian aid was delivered through the Rafah crossing this morning.;neutral
25;Multiple media outlets report rising tensions in the region.;neutral
26;Footage from southern Gaza shows destroyed buildings and displaced families.;neutral
27;The ceasefire negotiation has not reached a final agreement yet.;neutral
28;Social media trends show growing global attention to the conflict.;neutral
29;A new resolution was proposed by the UN regarding the conflict.;neutral
30;Journalists are reporting difficulties entering certain areas in Gaza.;neutral
31;The UN released a new report regarding the humanitarian crisis in Gaza.;neutral
32;The current death toll has risen according to several local sources.;neutral
33;Israeli military operations continue in several areas of Gaza Strip.;neutral
34;Humanitarian aid was delivered through the Rafah crossing this morning.;neutral
35;Multiple media outlets report rising tensions in the region.;neutral
36;Footage from southern Gaza shows destroyed buildings and displaced families.;neutral
37;The ceasefire negotiation has not reached a final agreement yet.;neutral
38;Social media trends show growing global attention to the conflict.;neutral
39;A new resolution was proposed by the UN regarding the conflict.;neutral
40;Journalists are reporting difficulties entering certain areas in Gaza.;neutral
41;The UN released a new report regarding the humanitarian crisis in Gaza.;neutral
42;The current death toll has risen according to several local sources.;neutral
43;Israeli military operations continue in several areas of Gaza Strip.;neutral
44;Humanitarian aid was delivered through the Rafah crossing this morning.;neutral
45;Multiple media outlets report rising tensions in the region.;neutral
46;Footage from southern Gaza shows destroyed buildings and displaced families.;neutral
47;The ceasefire negotiation has not reached a final agreement yet.;neutral
48;Social media trends show growing global attention to the conflict.;neutral
49;A new resolution was proposed by the UN regarding the conflict.;neutral
50;Journalists are reporting difficulties entering certain areas in Gaza.;neutral
51;The UN released a new report regarding the humanitarian crisis in Gaza.;neutral
52;The current death toll has risen according to several local sources.;neutral
53;Israeli military operations continue in several areas of Gaza Strip.;neutral
54;Humanitarian aid was delivered through the Rafah crossing this morning.;neutral
55;Multiple media outlets report rising tensions in the region.;neutral
56;Footage from southern Gaza shows destroyed buildings and displaced families.;neutral
57;The ceasefire negotiation has not reached a final agreement yet.;neutral
58;Social media trends show growing global attention to the conflict.;neutral
59;A new resolution was proposed by the UN regarding the conflict.;neutral
60;Journalists are reporting difficulties entering certain areas in Gaza.;neutral
61;The UN released a new report regarding the humanitarian crisis in Gaza.;neutral
62;The current death toll has risen according to several local sources.;neutral
63;Israeli military operations continue in several areas of Gaza Strip.;neutral
64;Humanitarian aid was delivered through the Rafah crossing this morning.;neutral
65;Multiple media outlets report rising tensions in the region.;neutral
66;Footage from southern Gaza shows destroyed buildings and displaced families.;neutral
67;The ceasefire negotiation has not reached a final agreement yet.;neutral
68;Social media trends show growing global attention to the conflict.;neutral
69;A new resolution was proposed by the UN regarding the conflict.;neutral
70;Journalists are reporting difficulties entering certain areas in Gaza.;neutral
71;The UN released a new report regarding the humanitarian crisis in Gaza.;neutral
72;The current death toll has risen according to several local sources.;neutral
73;Israeli military operations continue in several areas of Gaza Strip.;neutral
74;Humanitarian aid was delivered through the Rafah crossing this morning.;neutral
75;Multiple media outlets report rising tensions in the region.;neutral
76;Footage from southern Gaza shows destroyed buildings and displaced families.;neutral
77;The ceasefire negotiation has not reached a final agreement yet.;neutral
78;Social media trends show growing global attention to the conflict.;neutral
79;A new resolution was proposed by the UN regarding the conflict.;neutral
80;Journalists are reporting difficulties entering certain areas in Gaza.;neutral
81;The UN released a new report regarding the humanitarian crisis in Gaza.;neutral
82;The current death toll has risen according to several local sources.;neutral
83;Israeli military operations continue in several areas of Gaza Strip.;neutral
84;Humanitarian aid was delivered through the Rafah crossing this morning.;neutral
85;Multiple media outlets report rising tensions in the region.;neutral
86;Footage from southern Gaza shows destroyed buildings and displaced families.;neutral
87;The ceasefire negotiation has not reached a final agreement yet.;neutral
88;Social media trends show growing global attention to the conflict.;neutral
89;A new resolution was proposed by the UN regarding the conflict.;neutral
90;Journalists are reporting difficulties entering certain areas in Gaza.;neutral
91;The UN released a new report regarding the humanitarian crisis in Gaza.;neutral
92;The current death toll has risen according to several local sources.;neutral
93;Israeli military operations continue in several areas of Gaza Strip.;neutral
94;Humanitarian aid was delivered through the Rafah crossing this morning.;neutral
95;Multiple media outlets report rising tensions in the region.;neutral
96;Footage from southern Gaza shows destroyed buildings and displaced families.;neutral
97;The ceasefire negotiation has not reached a final agreement yet.;neutral
98;Social media trends show growing global attention to the conflict.;neutral
99;A new resolution was proposed by the UN regarding the conflict.;neutral
100;Journalists are reporting difficulties entering certain areas in Gaza.;neutral
101;The UN released a new report regarding the humanitarian crisis in Gaza.;neutral
102;The current death toll has risen according to several local sources.;neutral
103;Israeli military operations continue in several areas of Gaza Strip.;neutral
104;Humanitarian aid was delivered through the Rafah crossing this morning.;neutral
105;Multiple media outlets report rising tensions in the region.;neutral
106;Footage from southern Gaza shows destroyed buildings and displaced families.;neutral
107;The ceasefire negotiation has not reached a final agreement yet.;neutral
108;Social media trends show growing global attention to the conflict.;neutral
109;A new resolution was proposed by the UN regarding the conflict.;neutral
110;Journalists are reporting difficulties entering certain areas in Gaza.;neutral
111;The UN released a new report regarding the humanitarian crisis in Gaza.;neutral
112;The current death toll has risen according to several local sources.;neutral
113;Israeli military operations continue in several areas of Gaza Strip.;neutral
114;Humanitarian aid was delivered through the Rafah crossing this morning.;neutral
115;Multiple media outlets report rising tensions in the region.;neutral
116;Footage from southern Gaza shows destroyed buildings and displaced families.;neutral
117;The ceasefire negotiation has not reached a final agreement yet.;neutral
118;Social media trends show growing global attention to the conflict.;neutral
119;A new resolution was proposed by the UN regarding the conflict.;neutral
120;Journalists are reporting difficulties entering certain areas in Gaza.;neutral
121;The UN released a new report regarding the humanitarian crisis in Gaza.;neutral
122;The current death toll has risen according to several local sources.;neutral
123;Israeli military operations continue in several areas of Gaza Strip.;neutral
124;Humanitarian aid was delivered through the Rafah crossing this morning.;neutral
125;Multiple media outlets report rising tensions in the region.;neutral
126;Footage from southern Gaza shows destroyed buildings and displaced families.;neutral
127;The ceasefire negotiation has not reached a final agreement yet.;neutral
128;Social media trends show growing global attention to the conflict.;neutral
129;A new resolution was proposed by the UN regarding the conflict.;neutral
130;Journalists are reporting difficulties entering certain areas in Gaza.;neutral
131;The UN released a new report regarding the humanitarian crisis in Gaza.;neutral
132;The current death toll has risen according to several local sources.;neutral
133;Israeli military operations continue in several areas of Gaza Strip.;neutral
134;Humanitarian aid was delivered through the Rafah crossing this morning.;neutral
135;Multiple media outlets report rising tensions in the region.;neutral
136;Footage from southern Gaza shows destroyed buildings and displaced families.;neutral
137;The ceasefire negotiation has not reached a final agreement yet.;neutral
138;Social media trends show growing global attention to the conflict.;neutral
139;A new resolution was proposed by the UN regarding the conflict.;neutral
140;Journalists are reporting difficulties entering certain areas in Gaza.;neutral
141;The UN released a new report regarding the humanitarian crisis in Gaza.;neutral
142;The current death toll has risen according to several local sources.;neutral
143;Israeli military operations continue in several areas of Gaza Strip.;neutral
