created_at;full_text_processed;label
06/04/2025;isreal can it want and nobody in the so called democratic western world the gut to stand up against them and speak the truth the state of israel mass murdering palestinian i will never vote for again disgusted with the british political class;0
05/04/2025;i cant stand starmer hell side with isreal every day of the week kid slaughtered yet he pretend to for muslim here ill accept i dont want anyone isnt ancestrally brirish here but im heartbroken at our leader promote overseas;0
25/03/2025;i unequivocably stand with palestine and against the usisreal genocide;0
02/10/2024;i stand with israel an american this they and the u;0
28/03/2025;you stand with isreal they continue to murder innocent palestinian where exactly the peace you talking about;0
22/12/2023;a reminder that israel right to defend an occupying power under international law the only thing israel can end the occupation palestinian however the legal right to defend resist occupation and return to their home;0
17/09/2024;israel a right to defend in gaza but the palestinian;0
26/01/2024;under un law israel doesnt the right to defend the occupied population this right by giving this false right u;0
06/04/2025;good for israel one the right to enter any sovereign country;0
17/09/2024;according to internationalhumanitarianlaw israel the right to selfdefense an occupying power the right to defend from the occupied an occupied people the right to resist including through armed strugg;0
24/09/2024;an occupier israel right to defend against the people it occupies thats enshrined in international law that mean gaza the occupied west bank occupied golan height in syria and the shaaba farm in lebanon all the right;0
13/07/2024;israel crossed new line israel already crossed all the line yr ago israel the right nazi germany any right given to israel should treated a concession you would willing to give to nazi germany;0
20/11/2023;under international law israel a right to defend in the occupied territory of palestine in this case only palestinian the right to defend explained by francesca albanese un special rapporteur for palestine;0
16/12/2024;israel the illegal occupying power in the west bank there a legal right to armed resistance against an illegally occupying power confirmed by judge charlesworth in the recent icj case there right to collectively punish a civilian population regardless;0
06/04/2025;trump really testing the u popular support for israel rn majority of em support israel right to defend but trump and the current corrupt israeli goverment pushing ithamasoctober obj evil but this to stop;0
06/04/2025;the palestinian every right to they on october israel under the un charter an occupying power since it never never fulfilled it responsibility an occupying power never intended to fulfill them in fact it dispossessed;0
06/04/2025;the collective punishment policy pursued by israel on gaza to ended all of u in gaza the right to live in peace and the world to give u our right to live in peace human terrorist;0
08/11/2023;international law this israel right of self defence within the territory it illegally occupies the occupied people the right of armed struggle israel a state recognised by the un within those recognised boundary it the right of self defence;0
06/04/2025;well they lied on their entry form and if they spewing so much antiisrael propaganda then i sure thing might different every country the right to bar certain people they deem to a threat or;0
06/04/2025;israel a right to exist and every community organiser self proclaimed leftist communist or socialist afraid honest about that part of why the overton window shifted so far right in america;0
18/10/2024;memo to uk journalist israel right to even in gaza;0
06/04/2025;about the fact they used their privilege to lie to the israeli authority claiming to on government business israel every right to refuse them entry;0
06/04/2025;i think someone to say it israel a terrorist refugee group doesnt the right to defend simple they even human;0
06/04/2025;israel the right to decide it let in secure border we dont that wheres nick brown;0
10/09/2024;israel a right to defend in gaza but the palestinian my latest;0
12/02/2025;under international law hamas the right to defend from an occupying power israel the occupying power such right;0
06/04/2025;there mistake israel intention the horror of genocide israel right to exist in occupied palestine;0
20/11/2023;israel the right to defend the only reason israel keep saying the opposite over and over they know theyre disproportionate and illegal occupation;0
07/04/2024;israel the legal right to selfdefense in the land it occupies the owner of the land the legitimate right to resistance and the right to selfdetermination listen to un expert;0
11/12/2023;israel a right to defend from people it occupied and put a brutal siege on for the past year the only right israel under international law to end the occupation and stop the siege;0
04/12/2023;nope israel that right according to international humanitarian law the occupying power right to selfdefense in the area it occupies the occupied people the right to selfdefense;0
10/09/2024;the israeli a right to defend in gaza but the palestinian say basic morality and international humanitarian law;0
15/11/2023;according to international law israel the right to self defence it an occupying power so israel the right to defend;0
30/12/2023;just to clear israel the occupying force it lawful right to self defence or genocide within the territory it occupies gaza occupied;0
16/09/2024;israel a right to defend in gaza but the palestinian;0
10/09/2024;israel a right to defend in gaza but the palestinian palestine israel;0
29/09/2024;for the millionth fucking time israel right to defend it illegally occupying palestine and illegally attacking lebanon stop debating this canard palestine and lebanon the right to defend under international law always stop;0
19/11/2024;wrong israel right whatsoever occupier can never claim defense against those they occupy since the very state of occupation in an act of aggression palestinian on the other hand full right;0
06/04/2025;if you can see past all of the atrocity israel committed and still believe they a right to that land indigenous people love their land this now how indigenous people treat the land they love israel destroyed it out of blind hate;0
22/01/2024;under international law israel right to defend from occupied people occupied people the right to resist with any mean but then again would i know i only worked torward a phd covering international law teach lecture and write in the area;0
03/11/2024;the israeli occupation already in place the right to initiate militarised force in response a palestinian right and an israeli one;0
22/11/2023;under international law israel an occupier of gaza israel legal right to fight back against a legitimate act of resistance from an occupied territory or people they the right to remove f;0
10/02/2024;serious response per international law palestinian the right to defend against occupation israel right to occupy and siege palestine plus we all know will happen if palestinian surrender yall said;0
20/10/2023;israel the right to defend how can an illegitimate state stole the land and ethnically cleansed it the right to anything;0
12/09/2024;israel a right to defend in gaza but the palestinian written by;0
27/02/2025;it actually the exact opposite palestine a legitimate right to sovereignty over all of historic palestine it accepted it call a historic compromise to accept israeli sovereignty over pre border the basis for settling the issue of israeli secession;0
21/11/2024;an occupying power cannot justify act of violence or use military force against a population it legally obligated to protect in short fuck you israel the right to protect from the people it occupies dont like resista;0
14/12/2023;israel the right to defend in a land that it occupies but the people occupied the right to resist according to international law listen to the un expert on the occupied palestinian land;0
30/12/2024;israel doesnt a right to genocide according to international law set by icj;0
05/11/2023;new post the right of self defence israel the right of self defence but only in precisely the same way other country in fact the only unique factor about;0
03/11/2023;russia correct to claim that israel an occupying state a right to selfdefense absurd it like claiming that a home invader forced his way into someone home a right to defend against the homeowner;0
11/03/2024;israel zero right to defend according to international law they an occupying force squatting on someone else land;0
20/05/2024;under international law israel the right to self defense a belligerent occupier stop lying to the people if they want to end hamas they need to end the occupation;0
12/10/2023;israel the right to exist a religious ethnostate or defend it existence such this mean simply that it the right to occupy ethnically cleanse and settle foreign territory or pursue a given racial or religious demographic composition;0
07/10/2024;israel the right to defend against the people they occupy it wild how many of you still understand this;0
