created_at;full_text_processed;label
06/04/2025;if anybody needs a chip inserted in their brain named fafo satanyahuhu trump should order elon to implant one with delays in his sick mind so the gaza killing stops;0
06/04/2025;i just pledged my support to for justice dignity and peace in gaza join me in standing with the people of palestine to help them rebuild their lives and futures add voice today standwithgaza justiceforgaza;0
06/04/2025;taking a position on gaza taking a position on gaza one you to live with for the rest of life;0
06/04/2025;the children of gaza stand proof of a world that looked away dont look away;0
06/04/2025;i just donated to a family in gaza struggling to survive the war every little bit helps them get food and water please consider helping too share and donate if you can one love free free palestine free free gaza lt;0
06/04/2025;ousman noor instructions how to stop gaza genocide weve launched a campaign to estbalish an international armed force to stop the gaza genocide we instagram;0
06/04/2025;reminder to if i feel life hard please remember there people in gaza suffering more than me i still stand today god mercy my power or resilience i weak and that me i human;0
20/01/2025;suspension for gaza the highest honor repost from on instagram;0
06/04/2025;please dont stop talking about gaza;0
06/04/2025;salute to the courage of this lady for expressing in this big forum at microsoft israeliwarcrimes gaza gazaholocaust;0
06/04/2025;the idf crimes against humanity stoptradewithsettlements endisraeliimpunity sanctionisrael aparthiedisrael israelinewnazism stoparmingisrael israelterroriststate endzionism stoparmingisraelnow unseatisrael freepalestine gaza gazagenocide gazaholocaust;0
06/04/2025;stop the holocaust in gaza;0
06/04/2025;stop the world for gaza;0
06/04/2025;help obadas family escape from gaza war and reclaim their lives please support this gofundme by donating or sharing every bit of help makes a difference;0
06/04/2025;i able to match the last for new campaign can anyone else the same he to leave his family behind in gaza when he finally got the chance of medical evacuation for his own severe injuries please help him to make sure theyre provided for;0
06/04/2025;morocco rabat for a freepalestine and stop gaza genocide;0
06/04/2025;all they lie the palestinian info center half a million followers on facebook posted a photo of actress katherine heigl played dr izzie stevens in grey anatomy identifying her a french doctor traveled to gaza to offer medical help;0
06/04/2025;america already directly responsible for genocide in gaza if we combat troops on the ground there our nation crossed the rubicon;0
06/04/2025;stop the genocide_in_gaza please;0
06/04/2025;qaza palestine gaza the city of resilience and patince;0
06/04/2025;please help oday and his family by donating and sharing;0
06/04/2025;this the prominent leader targeted by american aircraft the martyr sarim ibn sheikh saleh alsuhaili one of the martyrs of the american aggression on their home in the saawan area of sanaa the children of yemen less important than the children of gaza _;0
06/04/2025;people idea how tiny of a strip gaza amp;0
04/04/2025;i think the issue with indians their ignorance for instance most think that kashmir horrific where around children died but dont think gaza a genocide where children killed and where;0
06/04/2025;kids in gaza asking for justice they asking for water for light for a night without drones overhead if that haunt you you paying attention;0
06/04/2025;we dont water to drink we need support to provide water for us campaign received support at all for the last two days please help her and her three young children;0
20/01/2025;from on ig last week columbia held disciplinary hearings against alleged student protestors from the gaza solidarity encampment during their hearings students spoke bravely about their commitment to fighting towards a free palestine and forced the university;0
06/04/2025;the world failed gaza palestine we will never forgive never forget if someone says one bad thing about hitler after all of this he just should act earlier maybe there a chance with all respect to normal jews zionists humans animals they hell on earth;0
07/12/2024;but the fight far from over the humanitarian crisis in gaza worsens ulc must actively work to incorporate the palestinian perspective into its programs and partnerships the school of public health cannot claim to stand for equity and social justice without addressing the;0
18/03/2025;after two weeks of a brutal siege denied palestinians lifesaving humanitarian aid and drone strikes that killed dozens the israeli occupation forces renewed their escalated bombardment of gaza and announced a total collapse of the ceasefire alleyesongaza;0
06/04/2025;powerful show of force to the warmongers and billionaires that the people will intimidated and that we will remain on the streets in defense of the palestinian people and our collective humanity free palestine end the usbacked israeli genocide in gaza;0
06/04/2025;notice how the racist chabad princess makes sure to use the photo that associates khalil gaza with the supposedly deranged libtard but the most retarded part thinking means to kill lol;0
15/01/2025;we the student movement for palestinian liberation commit to the fight ahead we will rest we achieve divestment secure an arms embargo and end the siege on gaza;0
06/04/2025;there a journalist burning on fucking live feed in gaza right now and of course this supposed to normal;0
06/04/2025;those in gaza directly bombed by israel starved to death israel prevents humanitarian aid to get through;0
07/10/2024;the american university in cairo today a year into the genocide in gaza auc students climbed to the rooftop of the sse building during assembly hour to raise two banners so all campus could see the st banner reads one year of genocide the nd reads today its;0
06/04/2025;free phalastina free gaza;0
21/11/2024;all out to sarah lawrence college defend the student intifada for over days our institutions ignored the genocide of our people in gaza we demand that they disclose their financial investments and they divest from death rally to demand disclosure divestment;0
06/04/2025;undersecretary of the ministry of health in gaza during the war deaths among children recorded due to malnutrition and we facing new numbers unless food supplies allowed in;0
06/04/2025;international calls for a global strike on monday april in solidarity with gaza and in rejection of the ongoing israeli massacres against palestinians;0
06/04/2025;israel committing genocide in gaza;0
31/12/2024;while the us empire and the zionist entity increased their aggression against our families and loved ones in gaza and across the region the student movement across the world stood up and fought back against their institutions complicity in genocide;0
15/11/2024;tufts bent to the zionist donors of this school but its students will we asking the students of this university to hear the cry of gaza and recommit for the fight towards divestment together we will help create a free palestine within our lifetimes;0
12/03/2025;while the us ramps up its militaristic repression at home it enabling the zionist entity in cutting off electricity to gaza this mahmoud protesting against american fascism and zionism go hand in hand;0
06/04/2025;when massacre of muslims taking place in gaza im horrifying to read muslim priorities other then this on social media please voice for this unlawful killings in gazza;0
06/04/2025;stop talking about gaza;0
04/04/2025;the footage from gaza several order of magnitude worse than the footage of the holocaust vietnam and even dresden combined;0
06/04/2025;i might the next martyr this our reality this the voice of gaza how long will this nightmare last;0
19/01/2025;the ceasefire begins we honor the incredible resilience and sacrifice of the people of gaza let continue to support mutual aid efforts and organize to eradicate zionism on our campuses our work only just begun;0
14/10/2023;between jakartas poor air quality my allergies and continuous horrific updates about war crime in gaza i didnt get much sleep last night other than praying donating and amplifying the underreported ground truth else can we palestinegenocide;0
06/04/2025;shout out to karachi merchants striking for gaza while we host netanyahu in washington;0
06/04/2025;sadly they cannot trust anyone in gaza so i blame them for rather safe than sorry situation;0
25/01/2025;of gazas schools destroyed youth already deprived of years of education due to covid and war now face a drop in future earnings this just an attack on education it an attack on an entire generation future;0
06/04/2025;theyve made gaza a death trap both physically and mentally;0
06/04/2025;this the world we created it all a part of the same phenomenon western governments actively assisting genocide in gaza;0
