created_at;full_text_processed;label
06/04/2025;isreal can it wants and nobody in the so called democratic western world the guts to stand up against them and speak the truth the state of israel mass murdering palestinians i will never vote for again disgusted with the british political class;c
05/04/2025;i cant stand starmer hell side with isreal every day of the week kids slaughtered yet he pretends to for muslims here ill accept i dont want anyone isnt ancestrally brirish here but im heartbroken at our leaders promote overseas;c
25/03/2025;i unequivocably stand with palestine and against the usisreal genocide;c
02/10/2024;i stand with israel an american this they and the us amp;c
28/03/2025;you stand with isreal they continue to murder innocent palestinians where exactly the peace you talking about;c
22/12/2023;a reminder that israel right to defend an occupying power under international law the only thing israel can end the occupation palestinians however the legal right to defend resist occupation and return to their homes;c
17/09/2024;israel a right to defend in gaza but the palestinians;c
26/01/2024;under un law israel doesnt the right to defend the occupied population this right by giving this false right us amp;c
06/04/2025;good for israel one the right to enter any sovereign country;c
17/09/2024;according to internationalhumanitarianlaw israel the right to selfdefense an occupying power the right to defend from the occupied an occupied people the right to resist including through armed strugg;c
24/09/2024;an occupier israel right to defend against the people it occupies thats enshrined in international law that means gaza the occupied west bank occupied golan height in syria and the shaaba farms in lebanon all the right;c
13/07/2024;israel crossed new lines israel already crossed all the lines yrs ago israel the right nazi germany any right given to israel should treated a concession you would willing to give to nazi germany;c
20/11/2023;under international law israel a right to defend in the occupied territories of palestine in this case only palestinians the right to defend explained by francesca albanese un special rapporteur for palestine;c
16/12/2024;israel the illegal occupying power in the west bank theres a legal right to armed resistance against an illegally occupying power confirmed by judge charlesworth in the recent icj case theres right to collectively punish a civilian population regardless;c
06/04/2025;trump really testing the us popular support for israel rn majority of em support israels right to defend but trump and the current corrupt israeli goverment pushing ithamasoctober obj evil but this to stop;c
06/04/2025;the palestinians every right to they on october israel under the un charter an occupying power since it never never fulfilled its responsibilities an occupying power never intended to fulfill them in fact it dispossessed;c
06/04/2025;the collective punishment policy pursued by israel on gaza to ended all of us in gaza the right to live in peace and the world to give us our rights to live in peace human terrorists;c
08/11/2023;international law this israel right of self defence within the territories it illegally occupies the occupied people the right of armed struggle israel a state recognised by the un within those recognised boundaries it the right of self defence;c
06/04/2025;well they lied on their entry form and if they spewing so much antiisrael propaganda then i sure things might different every country the right to bar certain people they deem to a threat or;c
06/04/2025;israel a right to exist and every community organiser self proclaimed leftist communist or socialist afraid honest about that part of why the overton window shifted so far right in america;c
18/10/2024;memo to uk journalists israel right to even in gaza;c
06/04/2025;about the fact they used their privilege to lie to the israeli authorities claiming to on government business israel every right to refuse them entry;c
06/04/2025;i think someone to say it israel a terrorist refugee group doesnt the right to defend simple they even human;c
06/04/2025;israel the right to decide it lets in secure borders we dont that wheres nick brown;c
10/09/2024;israel a right to defend in gaza but the palestinians my latest;c
12/02/2025;under international law hamas the right to defend from an occupying power israel the occupying power such right;c
06/04/2025;theres mistake israel intentions the horror of genocide israel right to exist in occupied palestine;c
20/11/2023;israel the right to defend the only reason israel keeps saying the opposite over and over they know theyre disproportionate and illegal occupation;c
07/04/2024;israel the legal right to selfdefense in the lands it occupies the owners of the land the legitimate right to resistance and the right to selfdetermination listen to un expert;c
11/12/2023;israel a right to defend from people it occupied and put a brutal siege on for the past years the only right israel under international law to end the occupation and stop the siege;c
04/12/2023;nope israel that right according to international humanitarian law the occupying power right to selfdefense in the area it occupies the occupied people the right to selfdefense;c
10/09/2024;the israelis a right to defend in gaza but the palestinians says basic morality and international humanitarian law;c
15/11/2023;according to international law israel the right to self defence it an occupying power so israel the right to defend;c
30/12/2023;just to clear israel the occupying force it lawful right to self defence or genocide within the territory it occupies gaza occupied amp;c
16/09/2024;israel a right to defend in gaza but the palestinians;c
10/09/2024;israel a right to defend in gaza but the palestinians palestine israel;c
29/09/2024;for the millionth fucking time israel right to defend it illegally occupying palestine and illegally attacking lebanon stop debating this canard palestine and lebanon the right to defend under international law always stop;c
19/11/2024;wrong israel right whatsoever occupiers can never claim defense against those they occupy since the very state of occupation in an act of aggression palestinians on the other hand full right;c
06/04/2025;if you can see past all of the atrocities israel committed and still believe they a right to that land indigenous people love their land this now how indigenous people treat the land they love israel destroyed it out of blind hate;c
22/01/2024;under international law israel right to defend from occupied people occupied people the right to resist with any means but then again would i know i only worked torward a phd covering international law teach lecture and write in the area;c
03/11/2024;the israeli occupation already in place the right to initiate militarised force in response a palestinian right and an israeli one;c
22/11/2023;under international law israel an occupier of gaza israel legal right to fight back against a legitimate act of resistance from an occupied territory or people they the right to remove f;c
10/02/2024;serious response per international law palestinians the right to defend against occupation israel right to occupy and siege palestine plus we all know will happen if palestinians surrender yall said;c
20/10/2023;israel the right to defend how can an illegitimate state stole the land and ethnically cleansed it the right to anything;c
12/09/2024;israel a right to defend in gaza but the palestinians written by;c
27/02/2025;it actually the exact opposite palestine a legitimate right to sovereignty over all of historic palestine it accepted it calls a historic compromise to accept israeli sovereignty over pre borders the basis for settling the issue of israeli secession;c
21/11/2024;an occupying power cannot justify acts of violence or use military force against a population its legally obligated to protect in short fuck you israel the right to protect from the people it occupies dont like resista;c
14/12/2023;israel the right to defend in a land that it occupies but the people occupied the right to resist according to international law listen to the un expert on the occupied palestinian land;c
30/12/2024;israel doesnt a right to genocide according to international law set by icj;c
05/11/2023;new post the right of self defence israel the right of self defence but only in precisely the same way other countries in fact the only unique factor about;c
03/11/2023;russia correct to claim that israel an occupying state a right to selfdefense absurd it like claiming that a home invader forced his way into someones home a right to defend against the homeowner;c
11/03/2024;israel zero right to defend according to international law they an occupying force squatting on someone else land;c
20/05/2024;under international law israel the right to self defense a belligerent occupier stop lying to the people if they want to end hamas they need to end the occupation;c
12/10/2023;israel the right to exist a religious ethnostate or defend its existence such this means simply that it the right to occupy ethnically cleanse and settle foreign territories or pursue a given racial or religious demographic composition;c
07/10/2024;israel the right to defend against the people they occupy it wild how many of you still understand this;c
31/10/2024;actually israel a right to defend it an occupying power palestinians the right of resistance including violent resistance under international law and an occupying power israel barred from harming the people whose land it occupies and;c
09/03/2024;according to the international law the israelis the legal right to selfdefense they occupiers and the owners of the land the right to resist the occupier;c
20/05/2024;youre wrong again israel the terrorist breaking un resolutions and international law law gives israel the right to carry out collective punishment and a genocide palestinians on the other hand the le;c
02/09/2024;israel the right to militarily defend in gaza under international law it the occupying power every single time you make amp;c
03/11/2023;international law says that israel right to selfdefense long it occupies palestine;c
06/02/2025;for starters israel right whatsoever to kill a single palestinian or even one iof militant anywhere in palestine armed resistance legal decades of israeli settlements and occupation;c
06/11/2023;correction israel doesnt the right to selfdefence against a nonstate actor under its occupation art of un charter and parties engaging in war must adhere to ihl principles protecting civilians there justification for genocide;c
