created_at;full_text_processed;label
06/04/2025;anybody needs chip inserted brain named fafo satanyahuhu trump order elon implant one delays sick mind gaza killing stops;0
06/04/2025;pledged support justice dignity peace gaza join standing people palestine help rebuild lives futures add voice today standwithgaza justiceforgaza;0
06/04/2025;taking position gaza taking position gaza one live rest life;0
06/04/2025;children gaza stand proof world looked away dont look away;0
06/04/2025;donated family gaza struggling survive war every little bit helps get food water please consider helping share donate one love free free palestine free free gaza lt;0
06/04/2025;ousman noor instructions stop gaza genocide weve launched campaign estbalish international armed force stop gaza genocide instagram;0
06/04/2025;reminder feel life hard please remember people gaza suffering still stand today god mercy power resilience weak human;0
20/01/2025;suspension gaza highest honor repost instagram;0
06/04/2025;please dont stop talking gaza;0
06/04/2025;salute courage lady expressing big forum microsoft israeliwarcrimes gaza gazaholocaust;0
06/04/2025;idf crimes humanity stoptradewithsettlements endisraeliimpunity sanctionisrael aparthiedisrael israelinewnazism stoparmingisrael israelterroriststate endzionism stoparmingisraelnow unseatisrael freepalestine gaza gazagenocide gazaholocaust;0
06/04/2025;stop holocaust gaza;0
06/04/2025;stop world gaza;0
06/04/2025;help obadas family escape gaza war reclaim lives please support gofundme donating sharing every bit help makes difference;0
06/04/2025;able match last new campaign anyone else leave family behind gaza finally got chance medical evacuation severe injuries please help make sure theyre provided;0
06/04/2025;morocco rabat freepalestine stop gaza genocide;0
06/04/2025;lie palestinian info center half million followers facebook posted photo actress katherine heigl played dr izzie stevens grey anatomy identifying french doctor traveled gaza offer medical help;0
06/04/2025;america already directly responsible genocide gaza combat troops ground nation crossed rubicon;0
06/04/2025;stop genocide_in_gaza please;0
06/04/2025;qaza palestine gaza city resilience patince;0
06/04/2025;please help oday family donating sharing;0
06/04/2025;prominent leader targeted american aircraft martyr sarim ibn sheikh saleh alsuhaili one martyrs american aggression home saawan area sanaa children yemen less important children gaza _;0
06/04/2025;people idea tiny strip gaza amp;0
04/04/2025;think issue indians ignorance instance think kashmir horrific around children died dont think gaza genocide children killed;0
06/04/2025;kids gaza asking justice asking water light night without drones overhead haunt paying attention;0
06/04/2025;dont water drink need support provide water us campaign received support last two days please help three young children;0
20/01/2025;ig last week columbia held disciplinary hearings alleged student protestors gaza solidarity encampment hearings students spoke bravely commitment fighting towards free palestine forced university;0
06/04/2025;world failed gaza palestine never forgive never forget someone says one bad thing hitler act earlier maybe chance respect normal jews zionists humans animals hell earth;0
07/12/2024;fight far humanitarian crisis gaza worsens ulc must actively work incorporate palestinian perspective programs partnerships school public health cannot claim stand equity social justice without addressing;0
18/03/2025;two weeks brutal siege denied palestinians lifesaving humanitarian aid drone strikes killed dozens israeli occupation forces renewed escalated bombardment gaza announced total collapse ceasefire alleyesongaza;0
06/04/2025;powerful show force warmongers billionaires people intimidated remain streets defense palestinian people collective humanity free palestine end usbacked israeli genocide gaza;0
06/04/2025;notice racist chabad princess makes sure use photo associates khalil gaza supposedly deranged libtard retarded part thinking means kill lol;0
15/01/2025;student movement palestinian liberation commit fight ahead rest achieve divestment secure arms embargo end siege gaza;0
06/04/2025;journalist burning fucking live feed gaza right course supposed normal;0
06/04/2025;gaza directly bombed israel starved death israel prevents humanitarian aid get;0
07/10/2024;american university cairo today year genocide gaza auc students climbed rooftop sse building assembly hour raise two banners campus could see st banner reads one year genocide nd reads today;0
06/04/2025;free phalastina free gaza;0
21/11/2024;sarah lawrence college defend student intifada days institutions ignored genocide people gaza demand disclose financial investments divest death rally demand disclosure divestment;0
06/04/2025;undersecretary ministry health gaza war deaths among children recorded due malnutrition facing new numbers unless food supplies allowed;0
06/04/2025;international calls global strike monday april solidarity gaza rejection ongoing israeli massacres palestinians;0
06/04/2025;israel committing genocide gaza;0
31/12/2024;us empire zionist entity increased aggression families loved ones gaza across region student movement across world stood fought back institutions complicity genocide;0
15/11/2024;tufts bent zionist donors school students asking students university hear cry gaza recommit fight towards divestment together help create free palestine within lifetimes;0
12/03/2025;us ramps militaristic repression home enabling zionist entity cutting electricity gaza mahmoud protesting american fascism zionism go hand hand;0
06/04/2025;massacre muslims taking place gaza im horrifying read muslim priorities social media please voice unlawful killings gazza;0
06/04/2025;stop talking gaza;0
04/04/2025;footage gaza several order magnitude worse footage holocaust vietnam even dresden combined;0
06/04/2025;might next martyr reality voice gaza long nightmare last;0
19/01/2025;ceasefire begins honor incredible resilience sacrifice people gaza let continue support mutual aid efforts organize eradicate zionism campuses work begun;0
14/10/2023;jakartas poor air quality allergies continuous horrific updates war crime gaza didnt get much sleep last night praying donating amplifying underreported ground truth else palestinegenocide;0
06/04/2025;shout karachi merchants striking gaza host netanyahu washington;0
06/04/2025;sadly cannot trust anyone gaza blame rather safe sorry situation;0
25/01/2025;gazas schools destroyed youth already deprived years education due covid war face drop future earnings attack education attack entire generation future;0
06/04/2025;theyve made gaza death trap physically mentally;0
06/04/2025;world created part phenomenon western governments actively assisting genocide gaza;0
13/03/2025;past days holy month ramadan israel refused allow entry humanitarian aid gaza time zionist attempts ethnically cleanse west bank intensified month every month continue show;0
06/04/2025;news gaza utterly horrific west bank lebanon militarisation country leads inevitably invasions world conflict support want voted uk us;0
05/04/2025;war going gaza;0
06/04/2025;stop bombing gaza stop targeting journalists;0
06/04/2025;israel leveled gaza killed drone journalists showed world drones begin capture scale destruction gaza strip journalists targeted;0
06/04/2025;guardian provides full account diabolical war crime israeli military changes account gaza paramedics killing video attack;0
18/03/2025;genocide never ended never silenced continue stand brothers sisters gaza face continued onslaught alleyesongaza gazaunderattack;0
06/04/2025;dupes manipulated muslim brotherhood captured video everyone cops spend time idf gaza learn terrorrists roll frigging ridiculuous;0
01/01/2025;healthcare workers students moral imperative use available resources channels ensure safety protection healthcare workers gaza particularly dr abu safiya whose life work immediate danger;0
06/04/2025;churches gaza tons crosses palestinian christians problem wtf talking;0
06/04/2025;even idf claims lie;0
04/11/2023;u simple pray dont stop talking genocide braw;0
06/04/2025;dear world rwanda genocide genocide tutsi words matter truth matters please get right help us protect memory dignity victims kwibuka saytherightname;0
06/04/2025;malaysia along uyghur brothers boycott shein temu chinese products products support genocide slavery uyghur muslims boycott american products owned zionist jeews good dont forget boycott chinese products;0
24/11/2024;genocide pelosi blood hands us sf state students say aipacfunded award ceremony nancy pelosi november st part international call action usfca sjp sfsu gups held picket line hyatt regency protest usfca;0
06/04/2025;genocide industry israel;0
06/04/2025;hats courageous engineer ibtihalaboussad billgates_supports_genocide shame;0
06/04/2025;anticatholic hold state canada account genocide indigenous peoples antisemitic hold state israel genocide palestinians states around world must follow international human rights laws doesnt;0
06/04/2025;signed petition microsoft end complicity apartheid genocide sign;0
06/04/2025;genocide gaza israel gazaholocaust idf stockmarketcrash bbtvi israelterroriststate human burned front world ones burned jews;0
06/04/2025;spineless selfish greedy maggots afraid stand auschwitz camp gaza daily slaughter civilians also accomplice genocide may dreaming enjoy future riviera planned orange clown graves palestinians shame;0
06/04/2025;x deleting progaza accounts muslims brutally killed eyes innocent kids dreams amp;0
06/04/2025;download ensure purchasing items complicit israels genocide choices must keep ramping efforts boycott israel boycott related israel;0
07/11/2024;jail support needed protestors arrested palestinian students community members disrupted genocide denier notorious sellout yossef haddads event chicago zionists cpd getting aggressive mobilize jail support;0
04/04/2025;sick individuals focus victims genocide ignore committing sick individual;0
06/04/2025;end genocide;0
21/11/2024;tomorrow students lecturers professors university staff members across globe refuse attend classes go work bringing institutions grinding halt struggle israels genocide palestinian people states;0
06/04/2025;yo genocide bad;0
06/04/2025;genocide clear day;0
06/04/2025;israel terrorist entity committing genocide apartheid support usa uk europe coward arab leaders zionists barbaric cant among civilized nations world;0
03/04/2025;western university students entire arab world combined end genocide except yemen course;0
06/04/2025;yousef exhausted genocide food water rare costly help survive family please donate share;0
08/10/2024;pro genocides dont argument justify support genocide instead humanity amp;0
04/04/2025;muslims india dont support genocide though generally speaking;0
06/04/2025;near future shouldnt surprise anyone states take actions people like sowing discord promoting genocide people massive online following thats national security threat;0
13/03/2025;watch students across turtle island mobilize response mahmouds illegal detention reminded mahmoud detained organizing genocide people liberation homeland;0
06/04/2025;stop genocide stop killing innocent people palistine oic wakes wake attack responsible muslim good muslim;0
03/04/2025;noise distract genocide committing;0
04/04/2025;true dont think mercy take action stop genocide opposed could done something;0
28/10/2023;war crime humanity genocide voice palestine pray free palestine freepalestine ceasefirenow;0
06/04/2025;criminal attack;0
06/04/2025;vehemently oppose genocide apparently antisemitic extremist sounds crazy crazy israelterroriststate;0
06/04/2025;even work israel useless stop genocide complicit murder torture palestinians shame shame shame follow would follow evil murderers amp;0
06/04/2025;look devastation russianbarbarians done ukraine long leaders world allow genocide continue putinisawarcriminal magaaremorons;0
06/04/2025;true protest sea free palestine flags keffiyehs speaker mentioned genocide;0
04/04/2025;zionist organizations cancelling someone nothing new wary pay memberships groups cover genocide;0
06/04/2025;crazy happiness also committing genocide miles away;0
06/04/2025;israel inclusion terrorist group unconventional state nonstate actor like listed genocide debate gaza polarizing like amnesty see evidence;0
