created_at;full_text_processed;label
06/04/2025;anybodi need chip insert brain name fafo satanyahuhu trump order elon implant one delay sick mind gaza kill stop;0
06/04/2025;pledg support justic digniti peac gaza join stand peopl palestin help rebuild life futur add voic today standwithgaza justiceforgaza;0
06/04/2025;take posit gaza take posit gaza one live rest life;0
06/04/2025;child gaza stand proof world look away dont look away;0
06/04/2025;donat famili gaza struggl surviv war everi littl bit help get food water pleas consid help share donat one love free free palestin free free gaza lt;0
06/04/2025;ousman noor instruct stop gaza genocid weve launch campaign estbalish intern arm forc stop gaza genocid instagram;0
06/04/2025;remind feel life hard pleas rememb peopl gaza suffer still stand today god merci power resili weak human;0
20/01/2025;suspens gaza highest honor repost instagram;0
06/04/2025;pleas dont stop talk gaza;0
06/04/2025;salut courag ladi express big forum microsoft israeliwarcrim gaza gazaholocaust;0
06/04/2025;idf crime human stoptradewithsettl endisraeliimpun sanctionisrael aparthiedisrael israelinewnaz stoparmingisrael israelterroristst endzion stoparmingisraelnow unseatisrael freepalestin gaza gazagenocid gazaholocaust;0
06/04/2025;stop holocaust gaza;0
06/04/2025;stop world gaza;0
06/04/2025;help obada famili escap gaza war reclaim life pleas support gofundm donat share everi bit help make differ;0
06/04/2025;abl match last new campaign anyon els leav famili behind gaza final got chanc medic evacu sever injuri pleas help make sure theyr provid;0
06/04/2025;morocco rabat freepalestin stop gaza genocid;0
06/04/2025;lie palestinian info center half million follow facebook post photo actress katherin heigl play dr izzi steven grey anatomi identifi french doctor travel gaza offer medic help;0
06/04/2025;america alreadi directli respons genocid gaza combat troop ground nation cross rubicon;0
06/04/2025;stop genocide_in_gaza pleas;0
06/04/2025;qaza palestin gaza citi resili patinc;0
06/04/2025;pleas help oday famili donat share;0
06/04/2025;promin leader target american aircraft martyr sarim ibn sheikh saleh alsuhaili one martyr american aggress home saawan area sanaa child yemen less import child gaza _;0
06/04/2025;peopl idea tini strip gaza amp;0
04/04/2025;think issu indian ignor instanc think kashmir horrif around child die dont think gaza genocid child kill;0
06/04/2025;kid gaza ask justic ask water light night without drone overhead haunt pay attent;0
06/04/2025;dont water drink need support provid water u campaign receiv support last two day pleas help three young child;0
20/01/2025;ig last week columbia held disciplinari hear alleg student protestor gaza solidar encamp hear student spoke brave commit fight toward free palestin forc univers;0
06/04/2025;world fail gaza palestin never forgiv never forget someon say one bad thing hitler act earlier mayb chanc respect normal jew zionist human anim hell earth;0
07/12/2024;fight far humanitarian crisi gaza worsen ulc must activ work incorpor palestinian perspect program partnership school public health cannot claim stand equiti social justic without address;0
18/03/2025;two week brutal sieg deni palestinian lifesav humanitarian aid drone strike kill dozen isra occup forc renew escal bombard gaza announc total collaps ceasefir alleyesongaza;0
06/04/2025;power show forc warmong billionair peopl intimid remain street defens palestinian peopl collect human free palestin end usback isra genocid gaza;0
06/04/2025;notic racist chabad princess make sure use photo associ khalil gaza supposedli derang libtard retard part think mean kill lol;0
15/01/2025;student movement palestinian liber commit fight ahead rest achiev divest secur arm embargo end sieg gaza;0
06/04/2025;journalist burn fuck live feed gaza right cours suppos normal;0
06/04/2025;gaza directli bomb israel starv death israel prevent humanitarian aid get;0
07/10/2024;american univers cairo today year genocid gaza auc student climb rooftop sse build assembl hour rais two banner campu could see st banner read one year genocid nd read today;0
06/04/2025;free phalastina free gaza;0
21/11/2024;sarah lawrenc colleg defend student intifada day institut ignor genocid peopl gaza demand disclos financi invest divest death ralli demand disclosur divest;0
06/04/2025;undersecretari ministri health gaza war death among child record due malnutrit face new number unless food suppli allow;0
06/04/2025;intern call global strike monday april solidar gaza reject ongo isra massacr palestinian;0
06/04/2025;israel commit genocid gaza;0
31/12/2024;u empir zionist entiti increas aggress famili love one gaza across region student movement across world stood fought back institut complic genocid;0
15/11/2024;tuft bent zionist donor school student ask student univers hear cri gaza recommit fight toward divest togeth help creat free palestin within lifetim;0
12/03/2025;u ramp militarist repress home enabl zionist entiti cut electr gaza mahmoud protest american fascism zionism go hand hand;0
06/04/2025;massacr muslim take place gaza im horrifi read muslim prioriti social medium pleas voic unlaw kill gazza;0
06/04/2025;stop talk gaza;0
04/04/2025;footag gaza sever order magnitud wors footag holocaust vietnam even dresden combin;0
06/04/2025;might next martyr realiti voic gaza long nightmar last;0
19/01/2025;ceasefir begin honor incred resili sacrific peopl gaza let continu support mutual aid effort organ erad zionism campu work begun;0
14/10/2023;jakarta poor air qualiti allergi continu horrif updat war crime gaza didnt get much sleep last night pray donat amplifi underreport ground truth els palestinegenocid;0
06/04/2025;shout karachi merchant strike gaza host netanyahu washington;0
06/04/2025;sadli cannot trust anyon gaza blame rather safe sorri situat;0
25/01/2025;gaza school destroy youth alreadi depriv year educ due covid war face drop futur earn attack educ attack entir gener futur;0
06/04/2025;theyv made gaza death trap physic mental;0
06/04/2025;world creat part phenomenon western govern activ assist genocid gaza;0
13/03/2025;past day holi month ramadan israel refus allow entri humanitarian aid gaza time zionist attempt ethnic cleans west bank intensifi month everi month continu show;0
06/04/2025;news gaza utterli horrif west bank lebanon militaris countri lead inevit invas world conflict support want vote uk u;0
05/04/2025;war go gaza;0
06/04/2025;stop bomb gaza stop target journalist;0
06/04/2025;israel level gaza kill drone journalist show world drone begin captur scale destruct gaza strip journalist target;0
06/04/2025;guardian provid full account diabol war crime isra militari chang account gaza paramed kill video attack;0
18/03/2025;genocid never end never silenc continu stand brother sister gaza face continu onslaught alleyesongaza gazaunderattack;0
06/04/2025;dupe manipul muslim brotherhood captur video everyon cop spend time idf gaza learn terrorrist roll frig ridiculu;0
01/01/2025;healthcar worker student moral imper use avail resourc channel ensur safeti protect healthcar worker gaza particularli dr abu safiya whose life work immedi danger;0
06/04/2025;church gaza ton cross palestinian christian problem wtf talk;0
06/04/2025;even idf claim lie;0
04/11/2023;u simpl pray dont stop talk genocid braw;0
06/04/2025;dear world rwanda genocid genocid tutsi word matter truth matter pleas get right help u protect memori digniti victim kwibuka saytherightnam;0
06/04/2025;malaysia along uyghur brother boycott shein temu chines product product support genocid slaveri uyghur muslim boycott american product own zionist jeew good dont forget boycott chines product;0
24/11/2024;genocid pelosi blood hand u sf state student say aipacfund award ceremoni nanci pelosi novemb st part intern call action usfca sjp sfsu gup held picket line hyatt regenc protest usfca;0
06/04/2025;genocid industri israel;0
06/04/2025;hat courag engin ibtihalaboussad billgates_supports_genocid shame;0
06/04/2025;anticathol hold state canada account genocid indigen peopl antisemit hold state israel genocid palestinian state around world must follow intern human right law doesnt;0
06/04/2025;sign petit microsoft end complic apartheid genocid sign;0
06/04/2025;genocid gaza israel gazaholocaust idf stockmarketcrash bbtvi israelterroristst human burn front world one burn jew;0
06/04/2025;spineless selfish greedi maggot afraid stand auschwitz camp gaza daili slaughter civilian also accomplic genocid may dream enjoy futur riviera plan orang clown graf palestinian shame;0
06/04/2025;x delet progaza account muslim brutal kill eye innoc kid dream amp;0
06/04/2025;download ensur purchas item complicit israel genocid choic must keep ramp effort boycott israel boycott relat israel;0
07/11/2024;jail support need protestor arrest palestinian student commun member disrupt genocid denier notori sellout yossef haddad event chicago zionist cpd get aggress mobil jail support;0
04/04/2025;sick individu focu victim genocid ignor commit sick individu;0
06/04/2025;end genocid;0
21/11/2024;tomorrow student lectur professor univers staff member across globe refus attend class go work bring institut grind halt struggl israel genocid palestinian peopl state;0
06/04/2025;yo genocid bad;0
06/04/2025;genocid clear day;0
06/04/2025;israel terrorist entiti commit genocid apartheid support usa uk europ coward arab leader zionist barbar cant among civil nation world;0
03/04/2025;western univers student entir arab world combin end genocid except yemen cours;0
06/04/2025;yousef exhaust genocid food water rare costli help surviv famili pleas donat share;0
08/10/2024;pro genocid dont argument justifi support genocid instead human amp;0
04/04/2025;muslim india dont support genocid though gener speak;0
06/04/2025;near futur shouldnt surpris anyon state take action peopl like sow discord promot genocid peopl massiv onlin follow that nation secur threat;0
13/03/2025;watch student across turtl island mobil respons mahmoud illeg detent remind mahmoud detain organ genocid peopl liber homeland;0
06/04/2025;stop genocid stop kill innoc peopl palistin oic wake wake attack respons muslim good muslim;0
03/04/2025;nois distract genocid commit;0
04/04/2025;true dont think merci take action stop genocid oppos could done someth;0
28/10/2023;war crime human genocid voic palestin pray free palestin freepalestin ceasefirenow;0
06/04/2025;crimin attack;0
06/04/2025;vehement oppos genocid appar antisemit extremist sound crazi crazi israelterroristst;0
06/04/2025;even work israel useless stop genocid complicit murder tortur palestinian shame shame shame follow would follow evil murder amp;0
06/04/2025;look devast russianbarbarian done ukrain long leader world allow genocid continu putinisawarcrimin magaaremoron;0
06/04/2025;true protest sea free palestin flag keffiyeh speaker mention genocid;0
04/04/2025;zionist organ cancel someon noth new wari pay membership group cover genocid;0
06/04/2025;crazi happi also commit genocid mile away;0
06/04/2025;israel inclus terrorist group unconvent state nonstat actor like list genocid debat gaza polar like amnesti see evid;0
06/04/2025;oh jfc russel rebrand fuck embarrass reason extraordinari absolut joseph goebbel machiavellilevel propaganda u activ jail disappear deport peopl speak usrael genocid;0
06/04/2025;noth like noth provok zionist think ate say free palestin form hama;0
06/04/2025;moral stori israel reduc number child gaza aim prevent join resist futur bomb everi day havent seen hama fighter kill battl open eye world plan;0
