created_at;favorite_count;full_text;id_str;image_url;in_reply_to_screen_name;lang;location;quote_count;reply_count;retweet_count;tweet_url;user_id_str;username
Fri Apr 18 03:00:17 +0000 2025;17485;Presiden China Xi Jinping dan Perdana Menteri Malaysia Anwar Ibrahim menyatakan penolakan mereka terhadap gagasan untuk merelokasi warga Gaza Palestina yang saat ini berada di bawah tekanan serangan Israel. Kedua pemimpin negara itu membuat pengumuman pada Kamis dalam sebuah https://t.co/eWCS7bxdlb;1,91E+18;https://pbs.twimg.com/media/GoySfmwW4AAIOeA.jpg;;in;;1018;774;4981;https://x.com/VIVAcoid/status/1913065016699290077;41730943;VIVAcoid
Fri Apr 18 16:42:14 +0000 2025;4756; Takkan pernah sekali pun kami ingin meninggalkan Gaza kami dibesarkan di disini dan di sini pulalah kami akan mati. Ini Mohammad Al-Muqayed istri dan ketiga anaknya syahid akibat pengeboman Israel di Jabalia hari ini!! https://t.co/g1A32u3Cqi;1,91E+18;https://pbs.twimg.com/amplify_video_thumb/1913271142988775424/img/BtY-N96Z0gW_I8OP.jpg;;in;Jakarta, Indonesia;42;79;2600;https://x.com/erlanishere/status/1913271865692532857;69561307;erlanishere
Mon Apr 14 09:02:31 +0000 2025;6291; *UPDATE TARGET BOIKOT BDS* 🇵🇸🇮🇩 _Per 14 April 2025_ ‼️Sudah +50.000 korban rakyat Gaza yang dibunuh Zionis Israel. Buat kamu yang tergerak untuk membantu mereka boikot adalah cara berjuang juga! Gerakan Boikot Divestasi dan Sanksi (BDS) sedunia sudah mengumumkan daftar https://t.co/YXXao7zS4W;1,91E+18;https://pbs.twimg.com/media/Goe_CoyWQAEazbf.jpg;;in;;216;60;6042;https://x.com/GerakanBDS_ID/status/1911706621816017202;1,51E+18;GerakanBDS_ID
Fri Apr 18 10:59:21 +0000 2025;2612;Kekejaman sipil dan tentara Israel terhadap warga Palestina itu nyata adanya. Sering kali para settler alias sipil Israel penjarah rumah warga Palestina memakai senapan serbu dinasnya untuk mengancam dan mengusir warga Palestina dari rumahnya dilindungi tentara berseragam. https://t.co/8AaPJdq2MZ;1,91E+18;https://pbs.twimg.com/ext_tw_video_thumb/1913185282402447360/pu/img/aF4epHdtcUEmL4OM.jpg;;in;DKI Jakarta, Indonesia;41;80;1172;https://x.com/RWWReborn/status/1913185576049951151;1,82E+18;RWWReborn
Fri Apr 18 12:03:12 +0000 2025;4823;Tadi siang Zionis biadab melakukan penyerangan di Tal Al Zatar Gaza Utara. 10 warga syahid. Jangan kita diam! Teruslah kita bersuara lantang menentang kejahatan Israel! https://t.co/PhuNxgF23P;1,91E+18;https://pbs.twimg.com/amplify_video_thumb/1913201361929601024/img/YUDXzUhvglPmYrw3.jpg;;in;Jakarta, Indonesia;10;64;3309;https://x.com/erlanishere/status/1913201644445307295;69561307;erlanishere
Fri Apr 11 23:59:50 +0000 2025;1209;Kami adalah anak2 Palestina yg Mulia kami mencintai Palestina atas nama semua orang yang telah menjualnya. Darahku adalah Darah Palestina 🇵🇸 Usir israel yg adalah penjajah &amp;;;;;;;;;;;
Sat Apr 12 11:57:59 +0000 2025;6708;Prabowo sayang bgt sm netanyahu dan israel saking sayangnya sampe bantuin ngosongin gaza gk tau ini ada hubungannya sm negosiasi sama trump perihal tarif impor 32% tapi ini dzalim bgt! https://t.co/5t6SnWKCTQ;1,91E+18;https://pbs.twimg.com/media/GoVUAkmWkAArFK_.jpg;;in;Underground Pleasure;47;46;2565;https://x.com/pasifisstate/status/1911026006447763922;1,54E+18;pasifisstate
Sun Apr 13 00:50:44 +0000 2025;3903;MIRIS !! PALESTINA ADALAH SATU² NYA NEGARA YG MENGAKUI KEMERDEKAAN INDONESIA TAHUN 1945 SEMENTARA DI INDONESIA BANYAK SEKALI ORANG² YG PRO ISRAEL MENDUKUNG GENOSIDA DI GAZA !! RESPECT DGN PERANCIS SAAT MEMPERLIHATKAN GAMBAR ANAK² GAZA KORBAN KEKEJAMAN ZIONIST !! https://t.co/SDxdYC3XDa;1,91E+18;https://pbs.twimg.com/amplify_video_thumb/1911218146704269312/img/dVQaKIMyG6VkKxNa.jpg;;in;127.0.0.1;10;22;1661;https://x.com/21_mozza/status/1911220473071018306;1,66E+18;21_mozza
Sat Apr 12 16:20:01 +0000 2025;30118;Prabowo mindahin 1000 palestinian ke indo artinya sejalan sama rencana Israel yang mau palestine pergi dari tanahnya sendiri. memilih 02 berarti mendukung prabowo dan segala kebijakan dan visi misinya in conclusion 02 voter = support israel.;1,91E+18;;;in;Yogyakarta, Indonesia;504;123;11605;https://x.com/yourdickshaker/status/1911091948036960758;1,56E+18;yourdickshaker
Fri Apr 11 22:42:38 +0000 2025;10635;China Saja Meyakini Dan Mengakui Gaza Milik Rakyat Palestina Kok Bisa Bisanya Yahudi Pesek Di Indonesia Mati Matian Membela zionis israel LAKNATULLAH #FreePalestine https://t.co/yfNzrOVT4y;1,91E+18;https://pbs.twimg.com/ext_tw_video_thumb/1910825791166046209/pu/img/fxfazkGP1lZbPhdl.jpg;;in;;45;58;3560;https://x.com/ABjodohComeback/status/1910825848258875399;1,72E+18;ABjodohComeback
Sun Apr 13 10:00:25 +0000 2025;1067;Umat Kristen Gaza merayakan Minggu Palma di Gereja Santo Porphyrius meski ada serangan udara Israel. Gereja abad ke-5 ini adalah salah satu situs Gereja tertua yang ada di Gaza. https://t.co/ZRh9RO2467;1,91E+18;https://pbs.twimg.com/ext_tw_video_thumb/1911358773341413377/pu/img/r0xucqS2S9AUOpUi.jpg;;in;Yerusalem;14;21;329;https://x.com/kresbung/status/1911358806354956572;1,06E+18;kresbung
Wed Apr 16 09:47:37 +0000 2025;37094;FIX YA INDONESIA JADI KAKI TANGAN GENOSIDA ISRAEL TERHADAP PALESTINA. BUKANNYA BANTU NGASIH SENJATA KEK BUAT MELAWAN MALAH RELOKASI WARGANYA! TOLOL! https://t.co/8L5fUqIBG2;1,91E+18;https://pbs.twimg.com/media/Gopciz0W8AAxD6r.jpg;;in;Mars;3386;1152;10048;https://x.com/dawgfromdahood/status/1912442747614896600;250137365;dawgfromdahood
